"","ufn","sample_type","sample_id","container_id","container_cell","sample_location","comments_sample","sample_status","sample_qc_flag","sample_flag_reason","sample_qc_log","container_type","storage_medium","date_updated","inventory_status","current_location","storage_unit","storage_tier_1","storage_tier_2","shipping_container","date_shipped","shipping_destination","recipient","date_received","expecting_return","date_returned","comments","container_num","container_grid_size"
"1","U4473","carcass","S4473CA1","BCA60",NA,"BCA60-NA",NA,"collected","N",NA,NA,"carcass","frozen -20",2017-12-05,"archived","UBC Hunt Lab","-20 Freezer B1019","Carcass Group Box 6",NA,NA,2017-12-05,"UBC Hunt Lab",NA,"2017-12-05",NA,NA,NA,"60",NA
"2","U4475","carcass","S4475CA1","BCA60",NA,"BCA60-NA",NA,"collected","N",NA,NA,"carcass","frozen -20",2017-12-05,"archived","UBC Hunt Lab","-20 Freezer B1019","Carcass Group Box 6",NA,NA,2017-12-05,"UBC Hunt Lab",NA,"2017-12-05",NA,NA,NA,"60",NA
"3","U4617","carcass","S4617CA1","BCA62",NA,"BCA62-NA",NA,"collected","N",NA,NA,"carcass","frozen -20",2017-12-05,"archived","UBC Hunt Lab","-20 Freezer B1019","Carcass Group Box 6",NA,NA,2017-12-05,"UBC Hunt Lab",NA,"2017-12-05",NA,NA,NA,"62",NA
"4","U3740","carcass","S3740CA1","BCA71",NA,"BCA71-NA",NA,"collected","N",NA,NA,"carcass","frozen -20",2017-12-05,"archived","UBC Hunt Lab","-20 Freezer B1019","Carcass Group Box 6",NA,NA,2017-12-05,"UBC Hunt Lab",NA,"2017-12-05",NA,NA,NA,"71",NA
"5","U4033","carcass","S4033CA1","BCA71",NA,"BCA71-NA",NA,"collected","N",NA,NA,"carcass","frozen -20",2017-12-05,"archived","UBC Hunt Lab","-20 Freezer B1019","Carcass Group Box 6",NA,NA,2017-12-05,"UBC Hunt Lab",NA,"2017-12-05",NA,NA,NA,"71",NA
"6","U4112","carcass","S4112CA1","BCA75",NA,"BCA75-NA",NA,"collected","N",NA,NA,"carcass","frozen -20",2017-12-05,"archived","UBC Hunt Lab","-20 Freezer B1019","Carcass Group Box 6",NA,NA,2017-12-05,"UBC Hunt Lab",NA,"2017-12-05",NA,NA,NA,"75",NA
"7","U4970","carcass","S4970CA1","BCA77",NA,"BCA77-NA",NA,"collected","N",NA,NA,"carcass","frozen -20",2017-12-05,"archived","UBC Hunt Lab","-20 Freezer B1019","Carcass Group Box 6",NA,NA,2017-12-05,"UBC Hunt Lab",NA,"2017-12-05",NA,NA,NA,"77",NA
"8","U4980","carcass","S4980CA1","BCA78",NA,"BCA78-NA",NA,"collected","N",NA,NA,"carcass","frozen -20",2017-12-05,"archived","UBC Hunt Lab","-20 Freezer B1019","Carcass Group Box 7",NA,NA,2017-12-05,"UBC Hunt Lab",NA,"2017-12-05",NA,NA,NA,"78",NA
