"","ufn","sample_type","storage_medium","sample_id","container_id","container_cell","sample_location","comments_sample","sample_status","sample_qc_flag","sample_flag_reason","sample_qc_log","current_location","storage_unit","date_processed","species","weight","standard_length","fork_length","survey_id","survey_date","site_id","region","zone","site_name","seine_id","set_time","lat","lon","lab_count_motiles","cm_lab","cpaf_lab","caf_lab","cgf_lab","lgf_lab","laf_lab","lpaf_lab","lpam_lab","lam_lab","ucal_lab","ulep_lab"
"1","U4225","sealice_cal","frozen -80","SLC4625","BLC1",1,"BLC1-1",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-23,"SO",3.3,"69",NA,"DE274",2016-05-19,"D08","DI","W","Calm Channel","DN374",06:56:00,50.319977,-125.042165,1,0,1,0,0,0,0,0,0,0,0,0
"2","U4280","sealice_cal","frozen -80","SLC4680","BLC1",3,"BLC1-3",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-24,"SO",5.8,"83",87,"DE274",2016-05-19,"D08","DI","W","Calm Channel","DN374",06:56:00,50.319977,-125.042165,1,1,0,0,0,0,0,0,0,0,0,0
"3","U4231","sealice_cal","frozen -80","SLC4631","BLC1",7,"BLC1-7",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-25,"SO",9,"95",NA,"JE251",2016-05-28,"J03","JS","N","Cracroft Point","JN351",09:10:00,50.545897,-126.668909,1,0,1,0,0,0,0,0,0,0,0,0
"4","U4237","sealice_cal","frozen -80","SLC4637","BLC1",9,"BLC1-9",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-28,"SO",7.8,"93",96,"JE251",2016-05-28,"J03","JS","N","Cracroft Point","JN351",09:10:00,50.545897,-126.668909,1,1,0,0,0,0,0,0,0,0,0,0
"5","U4238","sealice_cal","frozen -80","SLC4638","BLC1",12,"BLC1-12",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-28,"SO",6,"87",NA,"JE251",2016-05-28,"J03","JS","N","Cracroft Point","JN351",09:10:00,50.545897,-126.668909,1,0,0,1,0,0,0,0,0,0,0,0
"6","U4244","sealice_cal","frozen -80","SLC4644","BLC1",14,"BLC1-14","Sea lice very thawed, found at end of dissection.","collected","N",NA,NA,"UBC EOAS",NA,2017-08-28,"SO",12.2,"117",NA,"JE286",2016-06-23,"J03","JS","N","Cracroft Point","JN386",16:17:00,50.55803,-126.73463,1,0,1,0,0,0,0,0,0,0,0,0
"7","U4246","sealice_cal","frozen -80","SLC4646","BLC1",16,"BLC1-16",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-29,"SO",16,"114",NA,"JE286",2016-06-23,"J03","JS","N","Cracroft Point","JN386",16:17:00,50.55803,-126.73463,1,0,0,1,0,0,0,0,0,0,0,0
"8","U4251","sealice_cal","frozen -80","SLC4651","BLC1",18,"BLC1-18",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-29,"SO",8.7,"91",96,"JE261",2016-06-04,"J03","JS","N","Cracroft Point","JN361",13:44:00,50.543029,-126.632233,1,0,1,0,0,0,0,0,0,0,0,0
"9","U4252","sealice_cal","frozen -80","SLC4652","BLC1",20,"BLC1-20",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-30,"SO",7.1,"88",92,"JE261",2016-06-04,"J03","JS","N","Cracroft Point","JN361",13:44:00,50.543029,-126.632233,1,0,1,0,0,0,0,0,0,0,0,0
"10","U4254","sealice_cal","frozen -80","SLC4654","BLC1",21,"BLC1-21",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-30,"SO",6.3,"82",86,"JE261",2016-06-04,"J03","JS","N","Cracroft Point","JN361",13:44:00,50.543029,-126.632233,3,1,2,0,0,0,0,0,0,0,0,0
