ufn,species,year,location,analysis_planned,package_id,pkg_location,dissection_status
U10577,SO,2017,in_freezer,SEMSP,DP58,N,not dissected
U10578,SO,2017,in_freezer,SEMSP,DP58,N,not dissected
U10579,SO,2017,in_freezer,SEMSP,DP58,N,not dissected
U10580,SO,2017,in_freezer,SEMSP,DP58,N,not dissected
U10581,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10582,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10583,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10584,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10585,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10586,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10587,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10588,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10589,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10590,SO,2017,in_freezer,SEMSP,DP59,N,not dissected
U10591,PI,2017,in_freezer,SEMSP,DP60,N,not dissected
U10592,PI,2017,in_freezer,SEMSP,DP60,N,not dissected
U10593,PI,2017,in_freezer,SEMSP,DP60,N,not dissected
U10594,PI,2017,in_freezer,SEMSP,DP60,N,not dissected
U10595,PI,2017,in_freezer,SEMSP,DP60,N,not dissected
U10601,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U10602,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U10603,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U10604,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U10605,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U10606,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U10607,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U10608,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U10609,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U10610,CU,2017,in_freezer,SEMSP,DP61,N,not dissected
U12971,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12972,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12973,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12974,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12975,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12976,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12977,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12978,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12979,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12980,SO,2017,in_freezer,SEMSP,JP58,N,not dissected
U12981,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12982,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12983,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12984,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12985,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12986,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12987,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12988,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12989,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12990,SO,2017,in_freezer,SEMSP,JP59,N,not dissected
U12991,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U12992,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U12993,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U12994,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U12995,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U12996,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U12997,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U12998,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U12999,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U13000,PI,2017,in_freezer,SEMSP,JP60,N,not dissected
U13001,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U13002,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U13003,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U13004,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U13005,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U13006,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U13007,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U13008,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U13009,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U13010,CU,2017,in_freezer,SEMSP,JP61,N,not dissected
U15346,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15347,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15348,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15349,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15350,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15351,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15352,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15353,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15354,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15355,SO,2017,in_freezer,SJ UBC,DP357,N,not dissected
U15356,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15357,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15358,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15359,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15360,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15361,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15362,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15363,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15364,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15365,PI,2017,in_freezer,SJ UBC,DP358,N,not dissected
U15366,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15367,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15368,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15369,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15370,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15371,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15372,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15373,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15374,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15375,CU,2017,in_freezer,SJ UBC,DP359,N,not dissected
U15436,SO,2017,in_freezer,SJ UBC,DP366,N,not dissected
U15437,SO,2017,in_freezer,SJ UBC,DP366,N,not dissected
U15438,SO,2017,in_freezer,SJ UBC,DP366,N,not dissected
U15439,SO,2017,in_freezer,SJ UBC,DP366,N,not dissected
U15440,SO,2017,in_freezer,SJ UBC,DP366,N,not dissected
U15441,SO,2017,in_freezer,SJ UBC,DP366,N,not dissected
U15442,SO,2017,in_freezer,SJ UBC,DP366,N,not dissected
U15443,SO,2017,in_freezer,SJ UBC,DP366,N,not dissected
U15444,SO,2017,in_freezer,SJ UBC,DP366,N,not dissected
U15446,PI,2017,in_freezer,SJ UBC,DP367,N,not dissected
U15447,PI,2017,in_freezer,SJ UBC,DP367,N,not dissected
U15448,PI,2017,in_freezer,SJ UBC,DP367,N,not dissected
U15449,PI,2017,in_freezer,SJ UBC,DP367,N,not dissected
U15450,PI,2017,in_freezer,SJ UBC,DP367,N,not dissected
U15456,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
U15457,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
U15458,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
U15459,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
U15460,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
U15461,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
U15462,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
U15463,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
U15464,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
U15465,CU,2017,in_freezer,SJ UBC,DP368,N,not dissected
