"","ufn","survey_date","site_id","cal_cope_field","lep_cope_field","chal_a_field","chal_b_field","cal_mot_field","cm_field","cpaf_field","caf_field","cgf_field","lpam_field","lpaf_field","lam_field","laf_field","lgf_field","unid_cope_field","unid_chal_field","chal_scar","mot_scar","pred_scar","hemorrhaging","eroded_gill_plate","grazed_gill_plate","mate_guarding","pinched_belly","comments_fish_health_field","licing_protocol_field","motile_count"
"143","U16617",2018-06-23,"J03",NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"144","U16618",2018-06-23,"J03",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"145","U16912",2018-06-23,"J03",NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"146","U16918",2018-06-23,"J03",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,2,0,0,2,0,0,0,0,"CS","salmoncoast_motiles",1
"147","U16919",2018-06-23,"J03",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"148","U16920",2018-06-23,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"149","U17941",2018-06-28,"J09",8,0,9,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Cal cope in bag","salmoncoast_allstages",1
"150","U17943",2018-06-28,"J09",7,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"151","U17934",2018-06-28,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"152","U17935",2018-06-28,"J09",NA,NA,NA,NA,0,0,0,0,2,0,1,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"H Lesion Flank","salmoncoast_motiles",3
"153","U17937",2018-06-28,"J09",NA,NA,NA,NA,2,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"H Lesion VS, Multiple Lesions VS","salmoncoast_motiles",2
"154","U17731",2018-06-28,"J09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"155","U17732",2018-06-28,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"156","U17733",2018-06-28,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"157","U17737",2018-06-28,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"158","U17739",2018-06-28,"J09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"159","U17461",2018-06-25,"D09",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,"MG","salmoncoast_motiles",2
"160","U17462",2018-06-25,"D09",NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"161","U17463",2018-06-25,"D09",NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"162","U17466",2018-06-25,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"163","U17467",2018-06-25,"D09",NA,NA,NA,NA,1,0,0,1,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"164","U17469",2018-06-25,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"165","U17164",2018-06-25,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"isotopod - flabellifera","salmoncoast_motiles",1
"166","U17165",2018-06-25,"D09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"167","U17166",2018-06-25,"D09",NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"168","U17167",2018-06-25,"D09",NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"isotopod","salmoncoast_motiles",2
"169","U17168",2018-06-25,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"170","U17169",2018-06-25,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"isotopod","salmoncoast_motiles",1
"171","U17170",2018-06-25,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"172","U17041",2018-06-26,"D27",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"173","U17182",2018-06-26,"D27",NA,NA,NA,NA,2,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"174","U17183",2018-06-26,"D27",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,"fish","salmoncoast_motiles",1
"175","U17186",2018-06-26,"D27",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"176","U17189",2018-06-26,"D27",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"177","U17381",2018-06-26,"D27",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"178","U17389",2018-06-26,"D27",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"179","U17373",2018-06-27,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"180","U17379",2018-06-27,"D10",NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"181","U17342",2018-06-27,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"182","U17343",2018-06-27,"D10",NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"183","U17347",2018-06-27,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"184","U17349",2018-06-27,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"185","U17072",2018-06-27,"D09",5,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"186","U16041",2018-07-03,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"187","U16043",2018-07-03,"D09",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"188","U16045",2018-07-03,"D09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"189","U16046",2018-07-03,"D09",NA,NA,NA,NA,1,0,0,1,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"190","U16047",2018-07-03,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"191","U16048",2018-07-03,"D09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"192","U16049",2018-07-03,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"193","U16050",2018-07-03,"D09",NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"194","U17551",2018-07-03,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"195","U17552",2018-07-03,"J03",NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"Lesion FL","salmoncoast_motiles",2
"196","U17554",2018-07-03,"J03",NA,NA,NA,NA,2,2,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"Lesion FL","salmoncoast_motiles",3
"197","U17555",2018-07-03,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,"bird","salmoncoast_motiles",1
"198","U17557",2018-07-03,"J03",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"199","U17558",2018-07-03,"J03",NA,NA,NA,NA,2,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"200","U17560",2018-07-03,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"201","U17631",2018-07-03,"J03",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"202","U17633",2018-07-03,"J03",NA,NA,NA,NA,3,1,0,2,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",6
"203","U17634",2018-07-03,"J03",NA,NA,NA,NA,0,0,0,0,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"204","U17635",2018-07-03,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"205","U17636",2018-07-03,"J03",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"206","U17637",2018-07-03,"J03",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,"fish","salmoncoast_motiles",2
"207","U17638",2018-07-03,"J03",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,1,0,1,1,0,0,0,0,"bird, Vent, Lesion on head","salmoncoast_motiles",1
"208","U17495",2018-07-04,"D27",NA,NA,NA,NA,0,0,0,0,0,0,0,2,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"209","U17011",2018-07-04,"D27",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"210","U17681",2018-07-04,"J09",NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"211","U17685",2018-07-04,"J09",NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"212","U17688",2018-07-04,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"213","U17689",2018-07-04,"J09",NA,NA,NA,NA,1,0,0,1,3,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"Flank","salmoncoast_motiles",4
"214","U17690",2018-07-04,"J09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"215","U17563",2018-07-04,"J09",NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"Split CDF","salmoncoast_motiles",2
"216","U17566",2018-07-04,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"217","U17569",2018-07-04,"J09",NA,NA,NA,NA,2,0,0,2,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"218","U17570",2018-07-04,"J09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"219","U17281",2018-07-05,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"220","U17287",2018-07-05,"D10",NA,NA,NA,NA,1,0,0,1,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"221","U17288",2018-07-05,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"222","U17289",2018-07-05,"D10",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"223","U17290",2018-07-05,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"224","U17441",2018-07-05,"D10",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"225","U17447",2018-07-05,"D10",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"226","U17449",2018-07-05,"D10",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"227","U17601",2018-07-09,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"228","U17603",2018-07-09,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"229","U17604",2018-07-09,"J03",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"230","U17605",2018-07-09,"J03",NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,1,1,0,0,0,0,"PS Bird is H as well","salmoncoast_motiles",2
"231","U17606",2018-07-09,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"232","U17607",2018-07-09,"J03",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"233","U17610",2018-07-09,"J03",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"234","U17711",2018-07-09,"J03",NA,NA,NA,NA,1,1,0,0,2,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"235","U17712",2018-07-09,"J03",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"236","U17713",2018-07-09,"J03",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"237","U17717",2018-07-09,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"238","U17501",2018-07-09,"J09",NA,NA,NA,NA,1,1,0,0,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"239","U17502",2018-07-09,"J09",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"240","U17504",2018-07-09,"J09",NA,NA,NA,NA,2,1,0,1,0,0,0,0,0,0,NA,NA,3,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"241","U17505",2018-07-09,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"242","U17506",2018-07-09,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"243","U17507",2018-07-09,"J09",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"ANF","salmoncoast_motiles",2
"244","U17508",2018-07-09,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"245","U17509",2018-07-09,"J09",NA,NA,NA,NA,1,1,0,0,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"246","U17510",2018-07-09,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"247","U17971",2018-07-09,"J09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"248","U17973",2018-07-09,"J09",NA,NA,NA,NA,4,3,0,1,0,0,0,0,0,0,NA,NA,3,0,0,0,0,0,0,0,"Lots of attached lice","salmoncoast_motiles",4
"249","U17975",2018-07-09,"J09",NA,NA,NA,NA,3,2,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"250","U17976",2018-07-09,"J09",NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"251","U17977",2018-07-09,"J09",NA,NA,NA,NA,2,2,0,0,1,0,0,0,0,0,NA,NA,0,0,1,1,0,0,0,0,"Bird, ANF","salmoncoast_motiles",3
"252","U17979",2018-07-09,"J09",NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"253","U17131",2018-07-17,"D09",NA,NA,NA,NA,2,2,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"254","U17132",2018-07-17,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"255","U17133",2018-07-17,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"256","U17135",2018-07-17,"D09",NA,NA,NA,NA,2,1,0,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"257","U17138",2018-07-17,"D09",NA,NA,NA,NA,1,1,0,0,2,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",4
"258","U17139",2018-07-17,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"259","U17221",2018-08-01,"D09",NA,NA,NA,NA,2,0,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"260","U17222",2018-08-01,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"261","U17224",2018-08-01,"D09",NA,NA,NA,NA,0,0,0,0,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"262","U17225",2018-08-01,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"263","U17226",2018-08-01,"D09",NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"264","U17227",2018-08-01,"D09",NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"265","U17228",2018-08-01,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"266","U17122",2018-08-01,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"267","U17124",2018-08-01,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"268","U17125",2018-08-01,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
