"","ufn","survey_date","site_id","cal_cope_field","lep_cope_field","chal_a_field","chal_b_field","cal_mot_field","cm_field","cpaf_field","caf_field","cgf_field","lpam_field","lpaf_field","lam_field","laf_field","lgf_field","unid_cope_field","unid_chal_field","chal_scar","mot_scar","pred_scar","hemorrhaging","eroded_gill_plate","grazed_gill_plate","mate_guarding","pinched_belly","comments_fish_health_field","licing_protocol_field","motile_count"
"31","U16735",2018-06-03,"J03",NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,0,0,1,0,0,0,0,0,"bird","salmoncoast_motiles",1
"32","U16736",2018-06-03,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"33","U16737",2018-06-03,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"34","U16738",2018-06-03,"J03",NA,NA,NA,NA,2,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"35","U16739",2018-06-03,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"36","U16740",2018-06-03,"J03",NA,NA,NA,NA,2,2,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"37","U16981",2018-06-03,"J03",NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"38","U16983",2018-06-03,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"39","U16984",2018-06-03,"J03",NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,"fish","salmoncoast_motiles",2
"40","U16988",2018-06-03,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,1,1,0,0,0,0,"bird, ANF","salmoncoast_motiles",1
"41","U16990",2018-06-03,"J03",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"42","U16298",2018-06-04,"D09",0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"43","U16039",2018-06-04,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"mouth","salmoncoast_motiles",1
"44","U16263",2018-06-04,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"45","U16270",2018-06-04,"D09",NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"46","U17092",2018-06-05,"D27",0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"47","U17094",2018-06-05,"D27",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"48","U17096",2018-06-05,"D27",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"49","U17102",2018-06-05,"D27",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"50","U17106",2018-06-05,"D27",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"51","U17107",2018-06-05,"D27",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"52","U17110",2018-06-05,"D27",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"53","U17116",2018-06-05,"D27",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"54","U17118",2018-06-05,"D27",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"55","U16803",2018-06-07,"J09",1,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"56","U16809",2018-06-07,"J09",0,0,6,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"salmoncoast_allstages",1
"57","U16657",2018-06-07,"J09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"58","U16658",2018-06-07,"J09",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"59","U16659",2018-06-07,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"60","U16521",2018-06-07,"J09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,"Grazed chal scar","salmoncoast_motiles",1
"61","U16526",2018-06-07,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,"bird","salmoncoast_motiles",1
"62","U17251",2018-06-07,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"63","U17254",2018-06-07,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"64","U17255",2018-06-07,"D10",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,1,1,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"65","U17258",2018-06-07,"D10",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"66","U17259",2018-06-07,"D10",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"67","U17088",2018-06-07,"D10",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"68","U17421",2018-06-11,"D09",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"69","U17423",2018-06-11,"D09",0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CM fell out of bag","salmoncoast_allstages",1
"70","U17429",2018-06-11,"D09",0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"71","U17430",2018-06-11,"D09",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"72","U17201",2018-06-11,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"73","U17204",2018-06-11,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"74","U17205",2018-06-11,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"75","U17206",2018-06-11,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"76","U17207",2018-06-11,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"77","U17210",2018-06-11,"D09",NA,NA,NA,NA,0,0,0,0,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"78","U16812",2018-06-12,"J02",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"79","U16814",2018-06-12,"J02",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"80","U16819",2018-06-12,"J02",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"81","U16820",2018-06-12,"J02",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"82","U16834",2018-06-12,"J02",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"83","U16837",2018-06-12,"J02",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"84","U16839",2018-06-12,"J02",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"85","U17475",2018-06-12,"D22",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"86","U17480",2018-06-12,"D22",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"87","U17326",2018-06-12,"D22",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"88","U17306",2018-06-13,"D10",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,"salmoncoast_motiles",2
"89","U17309",2018-06-13,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
