seine_id,survey_date,site_id,so_taken,cu_taken,pi_taken,SO_retained,SO_dissected,PI_retained,PI_dissected,CU_retained,CU_dissected,ufn,sample_id,n_lice_in_sample,SO_sealice_collected,SO_sealice_results,PI_sealice_collected,PI_sealice_results,CU_sealice_collected,CU_sealice_results,n_sockeye_stock_id,stock_1,probability_stock_1
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U337,SSL329,4,10,0,0,0,0,0,9,Quesnel_Horsef,0.67
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U338,SSL330,6,10,0,0,0,0,0,9,NA,NA
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U339,SSL331,3,10,0,0,0,0,0,9,Chilko,1
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U340,SSL332,2,10,0,0,0,0,0,9,Chilko,0.98
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U344,SSL335,0,10,0,0,0,0,0,9,Weaver,0.96
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U345,SSL336,5,10,0,0,0,0,0,9,Chilko,0.99
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U346,SSL337,2,10,0,0,0,0,0,9,Chilko,1
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U352,SSL341,4,10,0,0,0,0,0,9,Blue_Lead_Ck,0.8
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U353,SSL342,5,10,0,0,0,0,0,9,Quesnel_Horsef,0.68
DN200,15-05-12,D01,30,10,0,30,10,0,0,10,0,U354,SSL343,4,10,0,0,0,0,0,9,Thompson_N,0.72
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U417,SSL399,4,10,0,0,0,0,0,10,Middle,0.82
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U418,SSL400,2,10,0,0,0,0,0,10,Chilko,0.99
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U425,SSL405,3,10,0,0,0,0,0,10,Chilko,0.59
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U426,SSL406,4,10,0,0,0,0,0,10,Chilko,0.98
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U322,SSL407,8,10,0,0,0,0,0,10,Chilko,0.96
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U323,SSL408,9,10,0,0,0,0,0,10,Middle,0.95
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U324,SSL409,8,10,0,0,0,0,0,10,Blue_Lead_Ck,0.79
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U419,SSL411,8,10,0,0,0,0,0,10,Quesnel_Horsef,0.58
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U420,SSL412,2,10,0,0,0,0,0,10,Blue_Lead_Ck,0.81
DN201,15-05-13,D02,30,10,0,30,10,0,0,10,0,U431,SSL413,4,10,0,0,0,0,0,10,Chilko,0.99
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U384,SSL369,6,10,0,0,0,0,0,10,Pinchi_Cr,0.92
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U385,SSL370,8,10,0,0,0,0,0,10,Weaver,1
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U386,SSL371,10,10,0,0,0,0,0,10,Quesnel_Decept,0.81
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U391,SSL372,10,10,0,0,0,0,0,10,Thompson_N,0.74
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U392,SSL373,12,10,0,0,0,0,0,10,Pinchi_Cr,1
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U393,SSL374,3,10,0,0,0,0,0,10,Pinchi_Cr,0.76
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U387,SSL381,3,10,0,0,0,0,0,10,Weaver,1
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U388,SSL382,4,10,0,0,0,0,0,10,Pinchi_Cr,0.85
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U389,SSL383,7,10,0,0,0,0,0,10,Thompson_N,0.83
DN202,15-05-14,D04,30,0,0,30,10,0,0,0,0,U395,SSL386,3,10,0,0,0,0,0,10,Pinchi_Cr,0.99
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U99,SSL123,5,11,0,0,0,0,0,11,Chilko,0.99
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U127,SSL204,5,11,0,0,0,0,0,11,Chilko,1
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U200,SSL205,6,11,0,0,0,0,0,11,Chilko,0.93
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U207,SSL206,7,11,0,0,0,0,0,11,Chilko,0.99
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U208,SSL207,9,11,0,0,0,0,0,11,Chilko,0.97
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U209,SSL208,9,11,0,0,0,0,0,11,Chilko,1
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U213,SSL210,3,11,0,0,0,0,0,11,Quesnel_Horsef,0.64
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U214,SSL211,3,11,0,0,0,0,0,11,Chilko,0.99
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U215,SSL212,4,11,0,0,0,0,0,11,Middle,1
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U231,SSL215,4,11,0,0,0,0,0,11,Chilko,1
DN203,15-05-15,D05,30,5,1,30,11,1,0,5,0,U232,SSL216,4,11,0,0,0,0,0,11,Blue_Lead_Ck,0.76
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U358,SSL350,2,11,0,0,0,0,0,11,Chilko,1
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U359,SSL351,4,11,0,0,0,0,0,11,Chilko,1
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U360,SSL352,2,11,0,0,0,0,0,11,Blue_Lead_Ck,0.81
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U364,SSL355,2,11,0,0,0,0,0,11,Chilko,1
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U365,SSL356,4,11,0,0,0,0,0,11,Quesnel_Horsef,0.68
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U366,SSL357,4,11,0,0,0,0,0,11,Chilko,0.97
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U367,SSL358,1,11,0,0,0,0,0,11,Thompson_N,0.89
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U371,SSL359,1,11,0,0,0,0,0,11,Chilko,1
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U372,SSL360,1,11,0,0,0,0,0,11,Chilko,0.96
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U373,SSL361,5,11,0,0,0,0,0,11,Chilko,0.96
DN204,15-05-15,D02,30,10,0,30,11,0,0,10,0,U374,SSL362,7,11,0,0,0,0,0,11,Chilko,1
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U268,SSL278,11,10,0,0,0,0,0,10,Pinchi_Cr,0.95
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U269,SSL279,7,10,0,0,0,0,0,10,Pinchi_Cr,0.45
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U270,SSL280,3,10,0,0,0,0,0,10,Chilko,0.99
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U278,SSL284,15,10,0,0,0,0,0,10,Chilko,1
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U279,SSL285,2,10,0,0,0,0,0,10,Chilko,0.99
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U290,SSL289,10,10,0,0,0,0,0,10,Chilko,0.93
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U291,SSL290,8,10,0,0,0,0,0,10,Chilko,0.87
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U280,SSL292,5,10,0,0,0,0,0,10,Pinchi_Cr,0.95
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U1060,SSL1012,6,10,0,0,0,0,0,10,Pinchi_Cr,0.94
DN205,15-05-15,D03,30,10,0,30,10,0,0,10,0,U1082,SSL1021,6,10,0,0,0,0,0,10,Chilko,0.85
DN206,15-05-16,D06,30,10,2,30,9,2,2,10,10,U296,SSL297,6,9,0,0,0,0,0,9,Gates_Cr,1
DN206,15-05-16,D06,30,10,2,30,9,2,2,10,10,U297,SSL298,5,9,0,0,0,0,0,9,Chilko,0.99
DN206,15-05-16,D06,30,10,2,30,9,2,2,10,10,U304,SSL302,3,9,0,0,0,0,0,9,Quesnel_Decept,0.84
DN206,15-05-16,D06,30,10,2,30,9,2,2,10,10,U305,SSL303,6,9,0,0,0,0,0,9,Weaver,1
DN206,15-05-16,D06,30,10,2,30,9,2,2,10,10,U315,SSL307,7,9,0,0,0,0,0,9,Pinchi_Cr,0.87
DN206,15-05-16,D06,30,10,2,30,9,2,2,10,10,U298,SSL308,2,9,0,0,0,0,0,9,Chilko,0.91
DN206,15-05-16,D06,30,10,2,30,9,2,2,10,10,U306,SSL311,5,9,0,0,0,0,0,9,Pinchi_Cr,0.91
DN206,15-05-16,D06,30,10,2,30,9,2,2,10,10,U316,SSL316,7,9,0,0,0,0,0,9,Chilko,0.68
DN206,15-05-16,D06,30,10,2,30,9,2,2,10,10,U321,SSL321,7,9,0,0,0,0,0,9,Pinchi_Cr,0.94
DN207,15-05-16,D07,30,10,1,30,10,1,1,10,5,U292,SSL293,8,10,0,1,0,0,0,10,Pinchi_Cr,0.88
DN207,15-05-16,D07,30,10,1,30,10,1,1,10,5,U293,SSL294,7,10,0,1,0,0,0,10,Chilko,1
DN207,15-05-16,D07,30,10,1,30,10,1,1,10,5,U294,SSL295,4,10,0,1,0,0,0,10,Birkenhead,1
DN207,15-05-16,D07,30,10,1,30,10,1,1,10,5,U295,SSL296,8,10,0,1,0,0,0,10,Quesnel_Decept,0.8
DN207,15-05-16,D07,30,10,1,30,10,1,1,10,5,U301,SSL299,6,10,0,1,0,0,0,10,Pinchi_Cr,0.88
DN207,15-05-16,D07,30,10,1,30,10,1,1,10,5,U302,SSL300,3,10,0,1,0,0,0,10,Weaver,1
DN207,15-05-16,D07,30,10,1,30,10,1,1,10,5,U303,SSL301,7,10,0,1,0,0,0,10,Chilko,0.99
DN207,15-05-16,D07,30,10,1,30,10,1,1,10,5,U311,SSL304,6,10,0,1,0,0,0,10,Chilko,0.65
