seine_id,survey_date,site_id,SO_retained,SO_dissected,PI_retained,PI_dissected,CU_retained,CU_dissected,SO_sealice_collected,SO_sealice_results,PI_sealice_collected,PI_sealice_results,CU_sealice_collected,CU_sealice_results,n_sockeye_stock_id
DN367,2016-05-16,D21,30,10,0,0,3,0,0,0,0,0,0,0,10
DN370,2016-05-18,D25,30,10,3,0,5,0,0,0,0,0,0,0,9
DN374,2016-05-19,D08,30,30,3,0,8,0,0,0,0,0,0,0,30
DN375,2016-05-19,D24,30,10,10,0,10,0,0,0,0,0,0,0,10
DN376,2016-05-19,D07,30,30,10,0,10,0,0,0,0,0,0,0,10
DN377,2016-05-23,D09,30,30,10,10,10,10,0,0,0,0,0,0,30
DN378,2016-05-23,D27,30,10,10,0,10,0,0,0,0,0,0,0,10
DN380,2016-05-23,D22,30,30,10,9,10,10,0,0,0,0,0,0,30
DN382,2016-05-24,D21,30,10,4,0,4,0,0,0,0,0,0,0,10
DN387,2016-05-26,D07,30,30,10,0,10,0,0,0,0,0,0,0,10
DN388,2016-05-27,D22,30,30,10,10,8,8,0,0,0,0,0,0,30
DN391,2016-05-27,D09,30,30,9,9,10,10,0,0,0,0,0,0,30
DN392,2016-06-01,D09,30,30,3,3,10,10,0,0,0,0,0,0,29
DN393,2016-06-01,D27,30,11,10,0,10,0,0,0,0,0,0,0,10
DN394,2016-06-01,D22,30,26,10,10,10,10,0,0,0,0,0,0,25
DN395,2016-06-02,D11,30,20,4,0,10,0,0,0,0,0,0,0,10
DN396,2016-06-02,D21,30,10,6,0,10,0,0,0,0,0,0,0,10
DN397,2016-06-02,D20,30,20,4,0,3,0,0,0,0,0,0,0,10
DN399,2016-06-03,D24,30,10,10,0,10,0,0,0,0,0,0,0,10
DN400,2016-06-03,D07,30,30,10,0,10,0,0,0,0,0,0,0,16
DN401,2016-06-07,D09,30,30,0,0,10,10,0,0,0,0,0,0,28
DN402,2016-06-07,D22,30,30,10,9,10,10,0,0,0,0,0,0,27
DN403,2016-06-08,D11,30,10,10,0,10,0,0,0,0,0,0,0,9
DN406,2016-06-08,D20,30,10,10,0,10,0,0,0,0,0,0,0,10
DN407,2016-06-09,D08,0,0,10,10,10,10,0,0,0,0,0,0,"NA"
DN408,2016-06-09,D07,30,30,10,0,4,0,0,0,0,0,0,0,10
DN411,2016-06-11,D25,1,1,8,0,5,0,0,0,0,0,0,0,1
DN415,2016-06-13,D21,15,10,10,0,9,0,0,0,0,0,0,0,10
DN420,2016-06-14,D22,30,30,10,10,10,10,0,0,0,0,0,0,30
DN421,2016-06-14,D27,6,6,10,0,10,0,0,0,0,0,0,0,6
DN422,2016-06-14,D09,30,30,10,10,10,10,0,0,0,0,0,0,22
DN427,2016-06-16,D07,30,30,10,0,10,0,0,0,0,0,0,0,9
DN428,2016-06-16,D07,30,0,0,0,0,0,0,0,0,0,0,0,0
DN430,2016-06-21,D09,14,14,10,10,10,10,0,0,0,0,0,0,14
DN436,2016-06-22,D21,60,10,10,0,10,0,0,0,0,0,0,0,10
DN438,2016-06-22,D20,30,10,10,0,10,0,0,0,0,0,0,0,10
DN441,2016-06-23,D24,21,20,10,0,10,0,0,0,0,0,0,0,10
DN444,2016-06-24,D04,9,9,10,0,10,0,0,0,0,0,0,0,9
DN452,2016-06-30,D21,6,6,10,0,10,0,0,0,0,0,0,0,5
DN453,2016-06-30,D11,22,10,10,0,10,0,0,0,0,0,0,0,10
DN455,2016-06-30,D20,6,6,10,0,10,0,0,0,0,0,0,0,6
DN460,2016-07-06,D27,24,10,10,0,10,0,0,0,0,0,0,0,10
DN462,2016-07-06,D09,8,8,10,10,10,10,0,0,0,0,0,0,8
JN201,2015-05-20,J05,30,0,1,1,10,10,0,0,1,0,10,0,0
JN202,2015-05-21,J06,30,10,0,0,10,8,10,0,0,0,8,0,10
JN204,2015-05-22,J07,30,30,0,0,1,0,30,0,0,0,0,0,11
JN205,2015-05-22,J08,30,30,0,0,3,2,30,0,0,0,2,0,1
JN206,2015-05-22,J04,30,3,0,0,2,2,3,0,0,0,2,0,0
JN207,2015-05-23,J03,30,29,0,0,0,0,29,0,0,0,0,0,6
JN208,2015-05-23,J09,30,30,0,0,10,0,30,1,0,0,0,0,1
JN209,2015-05-23,J10,30,28,0,0,10,0,28,0,0,0,0,0,0
JN210,2015-05-24,J02,30,10,0,0,7,5,10,10,0,0,0,0,10
JN212,2015-05-24,J06,30,10,0,0,2,0,10,0,0,0,0,0,9
JN213,2015-05-25,J05,30,10,0,0,10,0,10,0,0,0,0,0,10
JN214,2015-05-25,J04,30,10,2,0,10,0,10,0,0,0,0,0,10
JN215,2015-05-25,J08,30,11,0,0,10,0,11,0,0,0,0,0,11
JN216,2015-05-26,J07,30,10,0,0,10,0,9,0,0,0,0,0,10
JN217,2015-05-26,J03,30,10,0,0,10,10,10,0,0,0,0,0,10
JN218,2015-05-26,J09,30,10,1,1,10,5,10,10,0,0,0,0,10
JN219,2015-05-27,J10,30,10,0,0,10,0,10,10,0,0,0,0,10
JN222,2015-05-27,J09,30,0,0,0,10,0,0,0,0,0,0,0,0
JN223,2015-05-28,J01,30,0,0,0,10,0,0,0,0,0,0,0,0
JN226,2015-05-29,J06,30,10,0,0,10,0,10,0,0,0,0,0,10
JN228,2015-05-30,J05,30,10,0,0,10,0,10,0,0,0,0,0,10
JN229,2015-05-30,J07,30,8,0,0,10,0,8,0,0,0,0,0,8
JN231,2015-05-30,J08,30,11,1,1,10,0,11,0,1,0,0,0,11
JN232,2015-05-31,J04,30,10,0,0,10,0,10,0,0,0,0,0,10
JN233,2015-05-31,J03,30,11,0,0,10,10,11,0,0,0,0,0,11
JN234,2015-05-31,J09,30,10,0,0,10,5,10,9,0,0,0,0,10
JN236,2015-06-01,J02,30,10,0,0,5,2,10,9,0,0,0,0,10
JN237,2015-06-01,J01,25,10,1,0,10,0,10,9,0,0,0,0,10
JN238,2015-06-01,J10,30,10,2,0,10,0,10,9,0,0,0,0,10
JN239,2015-06-02,J05,30,0,0,0,10,0,0,0,0,0,0,0,0
JN240,2015-06-02,J07,30,0,2,0,10,0,0,0,0,0,0,0,0
JN242,2015-06-03,J06,30,0,0,0,10,0,0,0,0,0,0,0,0
JN243,2015-06-03,J08,30,0,0,0,10,0,0,0,0,0,0,0,0
JN245,2015-06-03,J09,30,0,0,0,10,0,0,0,0,0,0,0,0
JN246,2015-06-04,J04,30,0,0,0,10,0,0,0,0,0,0,0,0
JN247,2015-06-04,J03,30,0,7,7,10,0,0,0,0,0,0,0,0
JN248,2015-06-04,J02,30,0,1,0,10,0,0,0,0,0,0,0,0
JN249,2015-06-05,J10,30,0,0,0,10,0,0,0,0,0,0,0,0
JN250,2015-06-05,J01,30,0,3,0,10,0,0,0,0,0,0,0,0
JN252,2015-06-06,J07,30,11,3,0,10,0,11,0,0,0,0,0,11
JN254,2015-06-07,J06,30,10,0,0,10,0,10,0,0,0,0,0,10
JN255,2015-06-07,J05,30,11,0,0,10,0,11,0,0,0,0,0,11
JN257,2015-06-07,J08,30,10,3,0,10,0,10,0,0,0,0,0,10
JN259,2015-06-07,J09,29,11,10,10,10,5,11,11,0,0,0,0,11
JN260,2015-06-08,J04,30,10,2,0,10,0,10,0,0,0,0,0,10
JN261,2015-06-08,J03,30,10,1,1,10,10,10,0,0,0,0,0,10
JN262,2015-06-08,J01,30,10,10,0,10,0,10,8,0,0,0,0,10
JN263,2015-06-09,J02,30,10,0,0,10,0,10,8,0,0,0,0,10
JN265,2015-06-11,J05,30,0,10,0,10,0,0,0,0,0,0,0,0
JN266,2015-06-11,J07,30,0,4,0,10,0,0,0,0,0,0,0,0
JN268,2015-06-12,J06,4,0,0,0,10,0,0,0,0,0,0,0,0
JN271,2015-06-13,J09,30,0,0,0,10,0,0,0,0,0,0,0,0
JN272,2015-06-14,J06,30,11,10,0,10,0,11,0,0,0,0,0,11
JN273,2015-06-14,J07,30,11,7,0,10,0,11,0,0,0,0,0,11
JN274,2015-06-14,J05,30,10,2,0,10,0,10,0,0,0,0,0,10
JN275,2015-06-15,J04,7,7,0,0,10,0,7,0,0,0,0,0,7
JN276,2015-06-15,J08,30,10,10,0,10,0,10,0,0,0,0,0,10
JN277,2015-06-15,J03,30,10,0,0,10,10,10,0,0,0,0,0,10
JN278,2015-06-15,J10,30,10,10,0,10,1,10,8,0,0,1,0,10
JN279,2015-06-16,J01,30,10,10,0,10,0,10,6,0,0,0,0,10
JN280,2015-06-16,J02,6,6,10,10,10,5,6,6,0,0,0,0,6
JN281,2015-06-16,J09,30,10,9,9,10,5,10,7,0,0,0,0,9
JN282,2015-06-17,J04,3,0,10,0,10,0,0,0,0,0,0,0,0
JN283,2015-06-17,J08,30,0,4,0,10,0,0,0,0,0,0,0,0
