ufn,Comment,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
7,,Kuzkwa_Cr,3,0.75,Pinchi_Cr,3,0.2,Tachie,3,0.04,Weaver,4,0,Chilko,3,0
10,,Kuzkwa_Cr,3,0.36,Porter_Cr,1,0.34,Weaver,4,0.12,Pinchi_Cr,3,0.1,Stellako,3,0.04
16,,Kuzkwa_Cr,3,0.41,Pinchi_Cr,3,0.22,Portage_Cr,4,0.15,Stellako,3,0.14,Tachie,3,0.04
17,,Chilko_south,2,0.32,Kuzkwa_Cr,3,0.24,Chilko,3,0.21,Pinchi_Cr,3,0.1,Tachie,3,0.04
20,,Mitchell,3,1,,,,,,,,,,,,
21,,L_Horsefly,3,0.68,Chilko,3,0.24,McKinley,3,0.05,U_Horsefly,3,0.03,Tachie,3,0
25,,Chilko,3,1,Chilko_south,2,0,Little,4,0,L_Shuswap,4,0,Chilko-North,3,0
31,,Chilko,3,0.85,Thompson_N,2,0.06,Eagle_L,4,0.04,Portage_Cr,4,0.02,Seymour,2,0.01
35,,Weaver,4,0.29,Chilko_south,2,0.19,Pinchi_Cr,3,0.12,Kuzkwa_Cr,3,0.11,Thompson_N,2,0.11
42,,Mitchell,3,1,Wasko_Cr,3,0,,,,,,,,,
43,,L_Horsefly,3,0.44,Thompson_N,2,0.44,Portage_Cr,4,0.07,Little,4,0.02,Chilko,3,0.01
67,,Kuzkwa_Cr,3,0.57,Pinchi_Cr,3,0.22,Stellako,3,0.12,Tachie,3,0.03,Chilko,3,0.02
69,,Kuzkwa_Cr,3,0.48,Stellako,3,0.27,Pinchi_Cr,3,0.22,Tachie,3,0.03,Nadina,2,0
76,,Chilko,3,0.5,L_Adams,4,0.25,U_Horsefly,3,0.13,Middle,3,0.07,Horsefly,3,0.02
81,,Kuzkwa_Cr,3,0.51,Pinchi_Cr,3,0.18,Stellako,3,0.12,Portage_Cr,4,0.05,Tachie,3,0.03
85,,Kuzkwa_Cr,3,0.64,Pinchi_Cr,3,0.2,Stellako,3,0.09,Tachie,3,0.04,Porter_Cr,1,0.03
97,,Chilko,3,0.93,Chilko_south,2,0.06,Thompson_N,2,0,Chilko-North,3,0,Mitchell,3,0
98,,Chilko,3,0.87,Thompson_N,2,0.13,Chilko_south,2,0,Chilko-North,3,0,Raft,2,0
99,,Chilko,3,0.99,U_Horsefly,3,0,Narrows,1,0,Sinta,1,0,Blackwater,1,0
100,,Mitchell,3,0.88,Quesnel_Mitche,3,0.05,Quesnel_Horsef,3,0.04,Quesnel_Decept,3,0.02,Blue_Lead_Ck,3,0.01
127,,Chilko,3,1,,,,,,,,,,,,
128,,Weaver,4,0.7,Thompson_N,2,0.29,Chilko,3,0.01,Eagle_L,4,0,Chilko-North,3,0
129,,L_Adams,4,1,,,,,,,,,,,,
130,,Chilko,3,0.91,Chilko-North,3,0.05,L_Adams,4,0.04,Bowron,2,0,Raft,2,0
133,,Birkenhead,3,0.49,Weaver,4,0.29,LakeWashington,5,0.14,Chilko,3,0.03,L_Adams,4,0.01
134,,Porter_Cr,1,0.84,Forfar,1,0.06,Narrows,1,0.04,Bivouac,1,0.03,FiveMile,1,0.01
135,,Kuzkwa_Cr,3,0.72,Pinchi_Cr,3,0.12,Chilko,3,0.06,Tachie,3,0.04,Weaver,4,0.03
136,,Chilko,3,0.68,Chilko_south,2,0.32,Eagle_L,4,0,Chilko-North,3,0,Portage_Cr,4,0
156,,Chilko,3,0.48,Chilko_south,2,0.18,Thompson_N,2,0.13,Little,4,0.1,L_Shuswap,4,0.04
158,,Kuzkwa_Cr,3,0.58,Pinchi_Cr,3,0.22,Stellako,3,0.09,Tachie,3,0.04,Mitchell,3,0.02
159,,Porter_Cr,1,0.31,Kuzkwa_Cr,3,0.29,Pinchi_Cr,3,0.2,Narrows,1,0.05,Forfar,1,0.03
160,,Birkenhead,3,1,,,,,,,,,,,,
161,,Porter_Cr,1,0.81,Forfar,1,0.07,Narrows,1,0.06,Bivouac,1,0.03,Hudson_Bay,1,0.01
162,,Chilko,3,0.96,Chilko_south,2,0.04,Little,4,0,McKinley,3,0,Kuzkwa_Cr,3,0
171,,Porter_Cr,1,0.6,Portage_Cr,4,0.13,Little,4,0.09,Eagle_L,4,0.04,Narrows,1,0.02
200,,Chilko,3,0.93,Quesnel_Horsef,3,0.04,McKinley,3,0.02,U_Horsefly,3,0.01,Middle,3,0
207,,Chilko,3,0.99,Blue_Lead_Ck,3,0.01,Quesnel_Decept,3,0,Dust,1,0,Sinta,1,0
208,,Chilko,3,0.97,Quesnel_Horsef,3,0.01,U_Horsefly,3,0.01,Middle,3,0,Eagle_L,4,0
209,,Chilko,3,1,,,,,,,,,,,,
210,,Chilko,3,0.99,Chilko_south,2,0.01,,,,,,,,,
213,,Quesnel_Horsef,3,0.64,U_Horsefly,3,0.2,McKinley,3,0.12,Blue_Lead_Ck,3,0.04,Horsefly,3,0.01
214,,Chilko,3,0.99,McKinley,3,0.01,Quesnel_Horsef,3,0,Blue_Lead_Ck,3,0,Thompson_N,2,0
215,,Middle,3,1,Tachie,3,0,Kuzkwa_Cr,3,0,,,,,,
216,,Chilko,3,1,Chilko_south,2,0,Weaver,4,0,,,,,,
217,,Thompson_N,2,0.69,Chilko,3,0.2,Raft,2,0.11,Weaver,4,0,Little,4,0
218,,Stellako,3,0.9,Blackwater,1,0.06,Hudson_Bay,1,0.02,Nadina,2,0.01,Sandpoint,1,0.01
219,,Chilko,3,0.78,Tachie,3,0.07,Portage_Cr,4,0.04,L_Adams,4,0.03,Roaring,3,0.02
220,,Scotch,2,0.96,L_Adams,4,0.03,Chilko,3,0.01,Pitt,2,0,Eagle_L,4,0
221,,Chilko,3,0.98,Tachie,3,0.01,Pitt,2,0.01,Chilko-North,3,0.01,L_Adams,4,0
222,,Chilko,3,1,Chilko-North,3,0,L_Adams,4,0,,,,,,
223,,Seymour,2,0.82,Scotch,2,0.16,Chilko-North,3,0.02,Eagle,2,0,,,
224,,L_Adams,4,0.88,Raft,2,0.1,Thompson_N,2,0.03,Eagle_L,4,0,,,
225,,L_Adams,4,0.96,Raft,2,0.02,MiddleShuswap,4,0.01,Forfar,1,0,FiveMile,1,0
226,,Chilko,3,0.99,Paula,1,0,Sandpoint,1,0,Chilko-North,3,0,Tachie,3,0
227,,Chilko,3,0.56,L_Adams,4,0.3,Chilko-North,3,0.03,Raft,2,0.03,Little,4,0.02
228,,Tachie,3,0.77,Chilko,3,0.19,Chilko-North,3,0.02,Paula,1,0.02,L_Adams,4,0
229,,Chilko,3,0.82,Raft,2,0.11,Thompson_N,2,0.04,L_Adams,4,0.02,Chilko-North,3,0.01
230,,Stellako,3,1,Chilko,3,0,Tachie,3,0,Kynock,1,0,,,
231,,Chilko,3,1,,,,,,,,,,,,
232,,Blue_Lead_Ck,3,0.76,Quesnel_Mitche,3,0.14,Mitchell,3,0.1,Quesnel_Decept,3,0,Roaring,3,0
233,,Chilko,3,0.99,Raft,2,0,Thompson_N,2,0,Stellako,3,0,Fennell,2,0
234,,Quesnel_Horsef,3,0.97,U_Horsefly,3,0.01,Chilko,3,0.01,Horsefly,3,0,L_Horsefly,3,0
235,,Chilko,3,0.36,Raft,2,0.32,Thompson_N,2,0.23,Fennell,2,0.06,Kynock,1,0.02
236,,Chilko,3,0.97,Blackwater,1,0.01,Sandpoint,1,0,Hudson_Bay,1,0,Forfar,1,0
237,,Chilko,3,0.87,L_Adams,4,0.11,Chilko_south,2,0.01,Eagle_L,4,0.01,Chilko-North,3,0
238,,Paula,1,0.99,Tachie,3,0.01,Sandpoint,1,0,Blackwater,1,0,,,
239,,L_Adams,4,0.82,Chilko,3,0.08,Portage_Cr,4,0.04,Little,4,0.03,Pitt,2,0.02
240,,Chilko-North,3,0.95,Blackwater,1,0.04,Narrows,1,0.01,Gluskie,1,0,Felix,1,0
241,,Birkenhead,3,1,Weaver,4,0,,,,,,,,,
242,,Chilko,3,0.95,Chilko-North,3,0.05,,,,,,,,,
243,,Paula,1,0.71,Tachie,3,0.19,Sandpoint,1,0.04,Forfar,1,0.01,Gluskie,1,0.01
244,,Paula,1,0.85,Sandpoint,1,0.06,Rossette,1,0.03,Felix,1,0.02,Forfar,1,0.01
245,,Chilko-North,3,0.99,Birkenhead,3,0.01,Chilko,3,0,Narrows,1,0,Chilko_south,2,0
246,,Quesnel_Horsef,3,0.87,U_Horsefly,3,0.1,Seymour,2,0.02,Scotch,2,0,L_Horsefly,3,0
247,,Quesnel_Horsef,3,0.91,U_Horsefly,3,0.08,L_Horsefly,3,0,M_Horsefly,3,0,McKinley,3,0
248,,Quesnel_Horsef,3,0.91,U_Horsefly,3,0.09,Horsefly,3,0,,,,,,
249,,L_Adams,4,1,Eagle_L,4,0,L_Shuswap,4,0,,,,,,
250,,L_Adams,4,0.99,Bowron,2,0.01,,,,,,,,,
251,,Seymour,2,0.78,Scotch,2,0.11,Chilko-North,3,0.08,Quesnel_Horsef,3,0.02,Raft,2,0.01
252,,Quesnel_Mitche,3,0.55,Quesnel_Horsef,3,0.35,Blackwater,1,0.02,Paula,1,0.02,Narrows,1,0.02
253,,Chilko-North,3,0.98,Raft,2,0.01,Birkenhead,3,0.01,Quesnel_Horsef,3,0,U_Horsefly,3,0
254,,L_Adams,4,0.96,Chilko-North,3,0.02,Raft,2,0.01,MiddleShuswap,4,0.01,Thompson_N,2,0
255,,L_Adams,4,0.99,Bowron,2,0.01,Eagle_L,4,0.01,Chilko-North,3,0,,,
256,,L_Adams,4,1,,,,,,,,,,,,
257,,Paula,1,0.85,Sandpoint,1,0.08,Tachie,3,0.02,Rossette,1,0.01,Felix,1,0.01
258,,Chilko,3,0.98,L_Adams,4,0.01,Chilko-North,3,0,Paula,1,0,Thompson_N,2,0
259,,Chilko,3,0.96,L_Adams,4,0.04,Little,4,0,Portage_Cr,4,0,Roaring,3,0
260,,L_Adams,4,1,,,,,,,,,,,,
261,,L_Adams,4,0.94,MiddleShuswap,4,0.02,Raft,2,0.02,L_Shuswap,4,0.01,Thompson_N,2,0.01
262,,L_Adams,4,1,Chilko,3,0,Little,4,0,,,,,,
264,,Mitchell,3,0.85,Quesnel_Mitche,3,0.15,Quesnel_Decept,3,0,Wasko_Cr,3,0,Roaring,3,0
266,,Scotch,2,1,,,,,,,,,,,,
267,,Pitt,2,0.99,L_Adams,4,0,Kalum_lake,10,0,Birkenhead,3,0,Scotch,2,0
268,,Pinchi_Cr,3,0.95,Tachie,3,0.05,,,,,,,,,
269,,Pinchi_Cr,3,0.45,Thompson_N,2,0.26,Raft,2,0.19,Pitt,2,0.03,Birkenhead,3,0.01
270,,Chilko,3,0.99,Quesnel_Decept,3,0,Chilko-North,3,0,Chilko_south,2,0,,,
271,,L_Adams,4,0.92,Scotch,2,0.05,Little,4,0.02,Eagle_L,4,0.01,Portage_Cr,4,0.01
272,,Stellako,3,1,,,,,,,,,,,,
273,,Chilko,3,0.85,Thompson_N,2,0.04,Quesnel_Horsef,3,0.04,Blackwater,1,0.02,Sandpoint,1,0.02
274,,Chilko,3,0.99,Stellako,3,0.01,Chilko_south,2,0,,,,,,
275,,Paula,1,0.88,Tachie,3,0.07,Hudson_Bay,1,0.02,Rossette,1,0.02,Felix,1,0.01
276,,L_Adams,4,0.62,Chilko,3,0.31,Scotch,2,0.02,Eagle_L,4,0.02,Little,4,0.01
277,,Bowron,2,1,,,,,,,,,,,,
278,,Chilko,3,1,Quesnel_Decept,3,0,,,,,,,,,
279,,Chilko,3,0.99,Thompson_N,2,0.01,Chilko-North,3,0,Quesnel_Decept,3,0,Little,4,0
280,,Pinchi_Cr,3,0.95,Tachie,3,0.03,Hudson_Bay,1,0.01,Forfar,1,0,,,
281,,Quesnel_Horsef,3,0.41,Chilko,3,0.34,Thompson_N,2,0.15,Stellako,3,0.07,Kynock,1,0.01
282,,Chilko,3,0.95,Eagle_L,4,0.02,Portage_Cr,4,0.01,Little,4,0.01,L_Shuswap,4,0
283,,Chilko,3,1,,,,,,,,,,,,
284,,Chilko,3,1,Thompson_N,2,0,Chilko_south,2,0,,,,,,
285,,Chilko,3,1,,,,,,,,,,,,
