"","weight","length","logw","logl"
"1",16.9,119,1.22788670461367,2.07554696139253
"2",9.8,98,0.991226075692495,1.99122607569249
"3",13.7,106,1.13672056715641,2.02530586526477
"4",12.7,108,1.10380372095596,2.03342375548695
"5",11.4,104,1.05690485133647,2.01703333929878
"6",11.5,100,1.06069784035361,2
"7",12.2,106,1.08635983067475,2.02530586526477
"8",10.4,95,1.01703333929878,1.97772360528885
"9",12.2,108,1.08635983067475,2.03342375548695
"10",9.8,97,0.991226075692495,1.98677173426624
"11",13.7,106,1.13672056715641,2.02530586526477
"12",14,118,1.14612803567824,2.07188200730613
"13",14.4,110,1.15836249209525,2.04139268515822
"14",13.4,107,1.12710479836481,2.02938377768521
"15",10.9,103,1.03742649794062,2.01283722470517
"16",12.2,104,1.08635983067475,2.01703333929878
"17",11.6,104,1.06445798922692,2.01703333929878
"18",13,109,1.11394335230684,2.03742649794062
"19",14.1,115,1.14921911265538,2.06069784035361
"20",13.5,103,1.13033376849501,2.01283722470517
"21",10.5,110,1.02118929906994,2.04139268515822
"22",14,106,1.14612803567824,2.02530586526477
"23",12.2,103,1.08635983067475,2.01283722470517
"24",11.7,107,1.06818586174616,2.02938377768521
"25",9.3,96,0.968482948553935,1.98227123303957
"26",14,111,1.14612803567824,2.04532297878666
"27",NA,112,NA,2.04921802267018
"28",13.5,115,1.13033376849501,2.06069784035361
"29",13.8,106,1.13987908640124,2.02530586526477
"30",10.8,93,1.03342375548695,1.96848294855394
"31",13,103,1.11394335230684,2.01283722470517
"32",21.7,119,1.33645973384853,2.07554696139253
"33",13.5,105,1.13033376849501,2.02118929906994
"34",14.3,105,1.15533603746506,2.02118929906994
"35",16.9,117,1.22788670461367,2.06818586174616
"36",12.6,102,1.10037054511756,2.00860017176192
"37",14.6,118,1.16435285578444,2.07188200730613
"38",9.6,103,0.982271233039568,2.01283722470517
"39",11.1,105,1.04532297878666,2.02118929906994
"40",14.1,107,1.14921911265538,2.02938377768521
"41",13.4,108,1.12710479836481,2.03342375548695
"42",18.7,115,1.2718416065365,2.06069784035361
"43",18.4,114,1.26481782300954,2.05690485133647
