date,ufn,site.id,species,weight,nu.lice,fork.length
2015-05-22,85,J08,SO,16.9,11,119.0
2015-05-23,19,J10,SO,9.8,9,98.0
2015-05-23,26,J10,SO,13.7,10,106.0
2015-05-23,27,J10,SO,12.7,11,108.0
2015-05-23,28,J10,SO,11.4,6,104.0
2015-05-23,29,J10,SO,11.5,5,100.0
2015-05-23,30,J10,SO,12.2,14,106.0
2015-05-23,37,J10,SO,10.4,4,95.0
2015-05-23,38,J10,SO,12.2,3,108.0
2015-05-23,39,J10,SO,9.8,9,97.0
2015-05-23,40,J10,SO,13.7,11,106.0
2015-05-23,45,J10,SO,14,7,118.0
2015-05-23,46,J10,SO,14.4,7,110.0
2015-05-23,47,J10,SO,13.4,9,107.0
2015-05-23,48,J10,SO,10.9,13,103.0
2015-05-23,51,J10,SO,12.2,6,104.0
2015-05-23,126,J10,SO,11.6,10,104.0
2015-05-23,165,J10,SO,13,11,109.0
2015-05-23,166,J10,SO,14.1,11,115.0
2015-05-23,167,J10,SO,13.5,12,103.0
2015-05-23,168,J10,SO,10.5,8,110.0
2015-05-23,173,J10,SO,14,8,106.0
2015-05-23,174,J10,SO,12.2,5,103.0
2015-05-23,175,J10,SO,11.7,5,107.0
2015-05-23,176,J10,SO,9.3,5,96.0
2015-05-23,177,J10,SO,14,9,111.0
2015-05-23,182,J10,SO,NA,12,112.0
2015-05-23,183,J10,SO,13.5,21,115.0
2015-05-23,184,J10,SO,13.8,3,106.0
2015-05-23,185,J10,SO,10.8,3,93.0
2015-05-23,186,J10,SO,13,4,103.0
2015-06-19,709,J10,SO,21.7,3,119.0
2015-06-19,710,J10,SO,13.5,4,105.0
2015-06-19,713,J10,SO,14.3,5,105.0
2015-06-19,714,J10,SO,16.9,18,117.0
2015-06-27,715,J10,SO,12.6,4,102.0
2015-06-27,716,J10,SO,14.6,2,118.0
2015-06-27,717,J10,SO,9.6,13,103.0
2015-06-27,718,J10,SO,11.1,21,105.0
2015-06-19,725,J10,SO,14.1,3,107.0
2015-06-19,726,J10,SO,13.4,3,108.0
2015-06-19,727,J10,SO,18.7,4,115.0
2015-06-19,728,J10,SO,18.4,15,114.0
2015-06-27,729,J10,SO,11.7,7,109.0
2015-06-27,730,J10,SO,10.4,4,103.0
2015-06-19,731,J10,SO,15.6,7,105.0
2015-06-19,732,J10,SO,18.8,12,115.0
2015-06-27,733,J10,SO,20.2,8,124.0
2015-06-19,751,J10,SO,19.3,11,124.0
2015-06-27,752,J10,SO,7.3,3,89.0
2015-06-27,753,J10,SO,16.8,11,124.0
2015-06-27,757,J10,SO,19.2,22,129.0
2015-07-01,829,J10,SO,23,17,127.0
2015-07-01,830,J10,SO,23,12,127.0
2015-07-01,865,J10,SO,23,6,125.0
2015-07-01,871,J10,SO,24.8,8,130.0
2015-06-01,1068,J10,SO,13,24,104.0
2015-06-01,1069,J10,SO,11.6,7,98.0
2015-06-01,1070,J10,SO,16,9,115.0
2015-06-01,1102,J10,SO,11.2,11,107.0
2015-06-01,1103,J10,SO,11.4,11,108.0
2015-06-01,1104,J10,SO,13.6,4,104.0
2015-05-27,1105,J10,SO,10.1,9,96.0
