ufn,package_id,species,seine_id,survey_id,survey_date,site_id,time_out,weight_field,fork_length_field,height,time_dewar,field_lice_id_protocol,lice_presence,fish_field_comments,analysis_planned,id_flag,eLab?,qc,order
U21481,P1349,SO,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T09:14:00Z,6,85,14,1899-12-30T09:27:00Z,NA,NA,NA,SEMSP,N,no,TvdS,1
U21471,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:27:00Z,14.5,115,21,1899-12-30T09:13:00Z,NA,NA,NA,SEMSP,N,no,TvdS,2
U21472,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:31:00Z,4.3,82,14,1899-12-30T09:13:00Z,NA,NA,Fell on deck during weighing,SEMSP,N,no,TvdS,3
U21473,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:32:00Z,5.7,83,14,1899-12-30T09:13:00Z,NA,NA,NA,SEMSP,N,no,TvdS,4
U21474,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:34:00Z,6.5,92,16,1899-12-30T09:13:00Z,NA,NA,NA,SEMSP,N,no,TvdS,5
U21475,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:39:00Z,3,72,11,1899-12-30T09:13:00Z,NA,NA,NA,SEMSP,N,no,TvdS,6
U21476,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:40:00Z,6.5,92,15,1899-12-30T09:13:00Z,NA,NA,NA,SEMSP,N,no,TvdS,7
U21477,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:42:00Z,5,84,14,1899-12-30T09:13:00Z,NA,NA,NA,SEMSP,N,no,TvdS,8
U21478,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:44:00Z,5.5,86,14,1899-12-30T09:13:00Z,NA,NA,NA,SEMSP,N,no,TvdS,9
U21479,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:49:00Z,6,91,16,1899-12-30T09:13:00Z,NA,NA,NA,SEMSP,N,no,TvdS,10
U21480,P1348,PI,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:53:00Z,3.3,71,11,1899-12-30T09:13:00Z,NA,NA,NA,SEMSP,N,no,TvdS,11
U21461,P1347,CU,DE701N2,DE701,2020-05-19T00:00:00Z,D09,1899-12-30T08:46:00Z,9,99,18,1899-12-30T09:24:00Z,NA,NA,NA,SEMSP,N,no,TvdS,12
