ufn,survey_date,site_id,stock_1,current_location,container_id,storage_shelf,storage_tray
U4356,2016-05-23,D22,L_Adams,Quadra Prep Lab,BOTSO40,4,1
U4332,2016-05-23,D22,L_Adams,Quadra Prep Lab,BOTSO41,5,3
U4330,2016-05-23,D22,L_Adams,Quadra Prep Lab,BOTSO41,5,3
U4218,2016-05-23,D22,L_Adams,Quadra Prep Lab,BOTSO35,5,3
U4218,2016-05-23,D22,L_Adams,Quadra Prep Lab,BOTSO35,5,3
U4485,2016-05-27,D22,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4553,2016-05-27,D22,L_Adams,Quadra Prep Lab,BOTSO43,5,3
U4385,2016-05-27,D22,L_Adams,Quadra Prep Lab,BOTSO42,5,3
U4483,2016-05-27,D22,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4609,2016-05-27,D22,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4611,2016-05-27,D22,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4386,2016-05-27,D22,Chilko,Quadra Prep Lab,BOTSO42,5,3
U4388,2016-05-27,D22,Chilko,Quadra Prep Lab,BOTSO42,5,3
U4612,2016-05-27,D22,Chilko,Quadra Prep Lab,BOTSO44,5,3
U4192,2016-05-27,D09,L_Adams,Quadra Prep Lab,BOTSO40,4,1
U4309,2016-05-27,D09,Chilko,Quadra Prep Lab,BOTSO34,4,1
U4309,2016-05-27,D09,Chilko,Quadra Prep Lab,BOTSO34,4,4
U4188,2016-05-27,D09,Chilko,Quadra Prep Lab,BOTSO40,4,1
U4186,2016-05-27,D09,L_Adams,Quadra Prep Lab,BOTSO40,4,1
U4185,2016-05-27,D09,L_Adams,Quadra Prep Lab,BOTSO40,4,1
U4195,2016-05-27,D09,L_Adams,Quadra Prep Lab,BOTSO40,4,1
U4190,2016-05-27,D09,Chilko,Quadra Prep Lab,BOTSO40,4,1
U4628,2016-06-01,D09,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4499,2016-06-01,D09,L_Adams,Quadra Prep Lab,BOTSO43,5,3
U4504,2016-06-01,D09,Chilko,Quadra Prep Lab,BOTSO43,5,3
U4630,2016-06-01,D22,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4565,2016-06-01,D22,L_Adams,Quadra Prep Lab,BOTSO43,5,3
