year,region,species,louse_species,n,prevalence,abundance,abundance_sd,intensity
2015,DI,CU,all_lice,179,0.4022346368715084,0.5810055865921788,0.9288612667011177,1.4444444444444444
2015,DI,CU,motile_caligus,179,0.3407821229050279,0.43575418994413406,0.7267411219540881,1.278688524590164
2015,DI,CU,motile_lep,179,0.10614525139664804,0.1452513966480447,0.46339892106064834,1.368421052631579
2015,DI,PI,all_lice,60,0.7166666666666667,1.7333333333333334,1.549922542259983,2.4186046511627906
2015,DI,PI,motile_caligus,60,0.55,0.85,0.9173469483945608,1.5454545454545454
2015,DI,PI,motile_lep,60,0.4166666666666667,0.8833333333333333,1.303081961685472,2.12
2015,DI,SO,all_lice,425,0.43058823529411766,0.6823529411764706,0.9954112251799304,1.5846994535519126
2015,DI,SO,motile_caligus,425,0.4211764705882353,0.6635294117647059,0.984412364079566,1.5754189944134078
2015,DI,SO,motile_lep,425,0.018823529411764704,0.018823529411764704,0.13606161690941562,1
2015,JS,CU,all_lice,122,0.36885245901639346,0.5491803278688525,0.8537952124097298,1.488888888888889
2015,JS,CU,motile_caligus,122,0.3442622950819672,0.5163934426229508,0.8453431652672686,1.5
2015,JS,CU,motile_lep,122,0.03278688524590164,0.03278688524590164,0.178812715612169,1
2015,JS,PI,all_lice,127,0.5748031496062992,0.9448818897637795,1.0259110284621222,1.643835616438356
2015,JS,PI,motile_caligus,127,0.5275590551181102,0.7952755905511811,0.9372247335750622,1.507462686567164
2015,JS,PI,motile_lep,127,0.12598425196850394,0.14960629921259844,0.4378653151891795,1.1875
2015,JS,SO,all_lice,348,0.45689655172413796,0.7442528735632183,1.0631887572605354,1.628930817610063
2015,JS,SO,motile_caligus,348,0.43103448275862066,0.6781609195402298,1.0156612573059152,1.5733333333333333
2015,JS,SO,motile_lep,348,0.04310344827586207,0.06609195402298851,0.35398059609738575,1.5333333333333334
2016,DI,CU,all_lice,139,0.19424460431654678,0.2949640287769784,0.7750945469216707,1.5185185185185186
2016,DI,CU,motile_caligus,139,0.17266187050359713,0.20863309352517986,0.488636377413374,1.2083333333333333
2016,DI,CU,motile_lep,139,0.03597122302158273,0.08633093525179857,0.5033512961833017,2.4
2016,DI,PI,all_lice,126,0.23809523809523808,0.35714285714285715,0.7207139317569564,1.5
2016,DI,PI,motile_caligus,126,0.18253968253968253,0.2222222222222222,0.5042045440317078,1.2173913043478262
2016,DI,PI,motile_lep,126,0.09523809523809523,0.1349206349206349,0.44457934460655485,1.4166666666666667
2016,DI,SO,all_lice,611,0.22913256955810146,0.3142389525368249,0.6698007057558453,1.3714285714285714
2016,DI,SO,motile_caligus,611,0.2176759410801964,0.2978723404255319,0.6525953658624698,1.368421052631579
2016,DI,SO,motile_lep,611,0.016366612111292964,0.016366612111292964,0.1269847924216603,1
2016,JS,CU,all_lice,127,0.28346456692913385,0.3858267716535433,0.8455977888733093,1.3611111111111112
2016,JS,CU,motile_caligus,127,0.23622047244094488,0.27559055118110237,0.5444841064092077,1.1666666666666667
2016,JS,CU,motile_lep,127,0.07086614173228346,0.11023622047244094,0.5804807320359292,1.5555555555555556
2016,JS,PI,all_lice,123,0.4878048780487805,0.6829268292682927,0.8426837803224604,1.4
2016,JS,PI,motile_caligus,123,0.36585365853658536,0.4878048780487805,0.7170734427316989,1.3333333333333333
2016,JS,PI,motile_lep,123,0.17073170731707318,0.1951219512195122,0.4555403310385584,1.1428571428571428
2016,JS,SO,all_lice,311,0.3536977491961415,0.5401929260450161,0.9002644565302663,1.5272727272727273
2016,JS,SO,motile_caligus,311,0.33762057877813506,0.5112540192926045,0.8756759802363099,1.5142857142857142
2016,JS,SO,motile_lep,311,0.02572347266881029,0.028938906752411574,0.18612820624182952,1.125
2017,DI,CU,all_lice,140,0.34285714285714286,0.4857142857142857,0.8854191730613622,1.4166666666666667
2017,DI,CU,motile_caligus,140,0.32142857142857145,0.45,0.8593539484014103,1.4
2017,DI,CU,motile_lep,140,0.02142857142857143,0.03571428571428571,0.2790197199321168,1.6666666666666667
2017,DI,PI,all_lice,30,0.3333333333333333,0.5,0.8610338613230188,1.5
2017,DI,PI,motile_caligus,30,0.3333333333333333,0.4,0.6746646676632055,1.2
2017,DI,PI,motile_lep,30,0.06666666666666667,0.1,0.40257789993644877,1.5
2017,DI,SO,all_lice,271,0.22140221402214022,0.2767527675276753,0.571688669597376,1.25
2017,DI,SO,motile_caligus,271,0.2066420664206642,0.26199261992619927,0.5656805929839439,1.2678571428571428
2017,DI,SO,motile_lep,271,0.014760147601476014,0.014760147601476014,0.12081451055837455,1
2017,JS,CU,all_lice,90,0.26666666666666666,0.35555555555555557,0.6755956358436872,1.3333333333333333
2017,JS,CU,motile_caligus,90,0.25555555555555554,0.34444444444444444,0.6730963353444898,1.3478260869565217
2017,JS,CU,motile_lep,90,0.011111111111111112,0.011111111111111112,0.1054092553389461,1
2017,JS,PI,all_lice,30,0.7666666666666667,1.2333333333333334,0.9352607356658147,1.608695652173913
2017,JS,PI,motile_caligus,30,0.7666666666666667,1.2,0.9247553264475439,1.565217391304348
2017,JS,PI,motile_lep,30,0.03333333333333333,0.03333333333333333,0.18257418583505527,1
2017,JS,SO,all_lice,191,0.19895287958115182,0.23036649214659685,0.49131335453557334,1.1578947368421053
2017,JS,SO,motile_caligus,191,0.193717277486911,0.225130890052356,0.48838817460439676,1.162162162162162
2017,JS,SO,motile_lep,191,0.005235602094240838,0.005235602094240838,0.072357460529242107,1
2018,DI,CU,all_lice,211,0.17061611374407584,0.2132701421800948,0.531855886325,1.25
