year,region,species,n,q1,q3,median
2015,DI,CU,3966,154,173,156
2015,DI,PI,188,163.5,188,188
2015,DI,SO,8253,143,152,143
2016,DI,CU,2138,153,166,166
2016,DI,PI,2677,153,166,166
2016,DI,SO,7796,144,155,148
2017,DI,CU,5310,164,185,177
2017,DI,PI,40,156,177,156
2017,DI,SO,1480,156,158,158
2018,DI,CU,6663,158,171,163
2018,DI,PI,11015,158,163,163
2018,DI,SO,2404,143,155,143
