x,y,region,species,year,daily_percent
124,0.1842833460205843,DI,pi_total,2015-2018,0.0278837365955118
125,0.2171275294637587,DI,pi_total,2015-2018,0.03284418344317441
126,0.2558104161010623,DI,pi_total,2015-2018,0.0386828866373036
127,0.3013641329827482,DI,pi_total,2015-2018,0.04555371688168591
128,0.3550010056956157,DI,pi_total,2015-2018,0.05363687271286749
129,0.4181441460438424,DI,pi_total,2015-2018,0.06314314034822671
130,0.4924628926164322,DI,pi_total,2015-2018,0.0743187465725898
131,0.5799137406715762,DI,pi_total,2015-2018,0.08745084805514397
132,0.6827874263013537,DI,pi_total,2015-2018,0.1028736856297775
133,0.8037628331220799,DI,pi_total,2015-2018,0.12097540682072616
134,0.9459683531449965,DI,pi_total,2015-2018,0.14220552002291664
135,1.1130512368654917,DI,pi_total,2015-2018,0.16708288372049518
136,1.3092552837419646,DI,pi_total,2015-2018,0.19620404687647297
137,1.5395069171136462,DI,pi_total,2015-2018,0.23025163337168153
138,1.8095092107390154,DI,pi_total,2015-2018,0.2700022936253692
139,2.1258427291809188,DI,pi_total,2015-2018,0.3163335184419034
140,2.496071040622012,DI,pi_total,2015-2018,0.37022831144109336
141,2.928847377075807,DI,pi_total,2015-2018,0.43277633645379465
142,3.434017066502484,DI,pi_total,2015-2018,0.5051696894266771
143,4.022707962549123,DI,pi_total,2015-2018,0.5886908960466388
144,4.707398094203238,DI,pi_total,2015-2018,0.684690131654115
145,5.501946150808578,DI,pi_total,2015-2018,0.7945480566053407
146,6.421566314938822,DI,pi_total,2015-2018,0.9196201641302437
147,7.482724636715427,DI,pi_total,2015-2018,1.0611583217766052
148,8.70293014418249,DI,pi_total,2015-2018,1.220205507467063
149,10.100391084927388,DI,pi_total,2015-2018,1.3974609407448977
150,11.69350638505947,DI,pi_total,2015-2018,1.593115300132082
151,13.500166295633473,DI,pi_total,2015-2018,1.8066599105740035
152,15.53684625336924,DI,pi_total,2015-2018,2.0366799577357675
153,17.81749611576864,DI,pi_total,2015-2018,2.2806498623994003
154,20.352254329506476,DI,pi_total,2015-2018,2.5347582137378346
155,23.146052810036657,DI,pi_total,2015-2018,2.7937984805301816
156,26.197220224288916,DI,pi_total,2015-2018,3.0511674142522587
157,29.496232372518914,DI,pi_total,2015-2018,3.2990121482299983
