"","ufn","survey_date","site_id","region","species","sampling_week","louse_species","n_lice","year"
"1","U312",2015-05-16,"D07","DI","SO",20,"motile_caligus",0,2015
"2","U292",2015-05-16,"D07","DI","SO",20,"motile_caligus",1,2015
"3","U302",2015-05-16,"D07","DI","SO",20,"motile_caligus",0,2015
"4","U295",2015-05-16,"D07","DI","SO",20,"motile_caligus",1,2015
"5","U294",2015-05-16,"D07","DI","SO",20,"motile_caligus",0,2015
"6","U293",2015-05-16,"D07","DI","SO",20,"motile_caligus",2,2015
"7","U301",2015-05-16,"D07","DI","SO",20,"motile_caligus",0,2015
"8","U303",2015-05-16,"D07","DI","SO",20,"motile_caligus",2,2015
"9","U311",2015-05-16,"D07","DI","SO",20,"motile_caligus",0,2015
"10","U313",2015-05-16,"D07","DI","SO",20,"motile_caligus",0,2015
"11","U2912",2015-05-16,"D07","DI","CU",20,"motile_caligus",0,2015
"12","U2828",2015-05-16,"D07","DI","CU",20,"motile_caligus",1,2015
"13","U2827",2015-05-16,"D07","DI","CU",20,"motile_caligus",1,2015
"14","U2830",2015-05-16,"D07","DI","CU",20,"motile_caligus",0,2015
"15","U2635",2015-05-16,"D07","DI","CU",20,"motile_caligus",1,2015
"16","U230",2015-05-19,"D08","DI","SO",20,"motile_caligus",1,2015
"17","U273",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"18","U286",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"19","U285",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"20","U272",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"21","U274",2015-05-19,"D08","DI","SO",20,"motile_caligus",1,2015
"22","U281",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"23","U284",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"24","U4751",2015-05-19,"D08","DI","SO",20,"motile_caligus",1,2015
"25","U4705",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"26","U4831",2015-05-19,"D08","DI","SO",20,"motile_caligus",2,2015
"27","U4828",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"28","U4830",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"29","U4704",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
"30","U4750",2015-05-19,"D08","DI","SO",20,"motile_caligus",0,2015
