ufn,container_id,date_inventoried
U1396,BST60,NA
U1392,BST60,NA
U1394,BST60,NA
U1395,BST60,NA
U1386,BST59,NA
U1190,BST57,NA
U2828,BST227,2017-07-13
U2827,BST227,2017-07-13
U2830,BST227,2017-07-13
U2635,BST227,2017-07-13
U2626,BST227,2017-07-13
U2634,BST227,2017-07-13
U2627,BST227,2017-07-13
U2831,BST227,2017-07-13
U3007,BST227,2017-07-13
U2859,BST227,2017-07-13
U2528,BST227,2017-07-13
U2629,BST227,2017-07-13
U2625,BST227,2017-07-13
U2628,BST227,2017-07-13
U2824,BST227,2017-07-13
U2633,BST227,2017-07-13
U2861,BST227,2017-07-13
U2863,BST227,2017-07-13
U2525,BST227,2017-07-13
U2530,BST227,2017-07-13
U2513,BST227,2017-07-13
U2517,BST227,2017-07-13
U2839,BST227,2017-07-13
U2526,BST227,2017-07-13
U2860,BST227,2017-07-13
U4173,BST205,2018-07-13
U4980,BST205,2018-07-13
U4979,BST205,2018-07-13
U4155,BST205,2018-07-13
U4170,BST205,2018-07-13
U4960,BST205,2018-07-13
U4965,BST205,2018-07-13
U4097,BST205,2018-07-13
U4096,BST205,2018-07-13
U4065,BST205,2018-07-13
U4098,BST205,2018-07-13
U4149,BST205,2018-07-13
U3888,BST205,2018-07-13
U3887,BST205,2018-07-13
U3889,BST205,2018-07-13
U3720,BST205,2018-07-13
U3716,BST205,2018-07-13
U3718,BST205,2018-07-13
U3717,BST205,2018-07-13
U3719,BST205,2018-07-13
U3712,BST205,2018-07-13
U3714,BST205,2018-07-13
U3711,BST205,2018-07-13
U3715,BST205,2018-07-13
U3713,BST205,2018-07-13
U2912,BST110,2018-07-13
U2862,BST110,2018-07-13
U3226,BST110,2018-07-13
U3227,BST110,2018-07-13
U3231,BST110,2018-07-13
U2928,BST110,2018-07-13
U2927,BST110,2018-07-13
U2529,BST110,2018-07-13
U2947,BST110,2018-07-13
U3200,BST110,2018-07-13
U3198,BST110,2018-07-13
U2951,BST110,2018-07-13
U2950,BST110,2018-07-13
U2949,BST110,2018-07-13
U2948,BST110,2018-07-13
U3197,BST110,2018-07-13
U3199,BST110,2018-07-13
U3196,BST110,2018-07-13
U3329,BST110,2018-07-13
U2979,BST110,2018-07-13
U3328,BST110,2018-07-13
U3503,BST110,2018-07-13
U3327,BST110,2018-07-13
U3326,BST110,2018-07-13
U3325,BST110,2018-07-13
U3025,BST109,2018-07-13
U2931,BST109,2018-07-13
U3020,BST109,2018-07-13
U3024,BST109,2018-07-13
U3022,BST109,2018-07-13
U3023,BST109,2018-07-13
U3021,BST109,2018-07-13
U3017,BST109,2018-07-13
U3839,BST109,2018-07-13
U3838,BST109,2018-07-13
U3837,BST109,2018-07-13
U3835,BST109,2018-07-13
U3836,BST109,2018-07-13
U3834,BST109,2018-07-13
U3840,BST109,2018-07-13
U3765,BST109,2018-07-13
U3763,BST109,2018-07-13
U3768,BST109,2018-07-13
U3769,BST109,2018-07-13
U3764,BST109,2018-07-13
U3766,BST109,2018-07-13
U3770,BST109,2018-07-13
U3771,BST109,2018-07-13
U3762,BST109,2018-07-13
U3767,BST109,2018-07-13
U3501,BST107,2018-07-13
U3502,BST107,2018-07-13
U2978,BST107,2018-07-13
