package_id,seine_id,species,number_of_fish,whatman_sheet,whatman_cell_start,field_liced_status,time_out,time_dewar,field_dewar_number,transport_dewar_number,pkg_preservation_status,freezer_type,freezer_number,freezer_shelf,package_comments,duplicate_Id_flag,lab_qc
P1126,DE522N1,PI,10,NA,NA,Y,08:40:00,09:00:00,10-2018-06-07,NA,1,-80,3,2,NA,No,JG
P1127,DE522N1,SO,10,BWS9,251,N,09:15:00,09:30:00,10-2018-06-07,NA,1,-80,3,2,NA,No,JG
P1128,DE522N1,SO,10,BWS9,261,N,09:29:00,09:45:00,10-2018-06-07,NA,1,-80,3,2,NA,No,JG
P1125,DE522N1,HE,10,NA,NA,N,09:47:00,09:57:00,10-2018-06-07,NA,1,-80,3,2,NA,No,JG
P1143,DE523N3,SO,10,BWS7,181,Y,NA,NA,06-2018-06-11,NA,1,-80,3,2,NA,No,NA
P1121,DE523N3,PI,10,NA,NA,Y,09:32:00,10:01:00,06-2018-06-11,NA,1,-80,3,2,NA,No,NA
P1122,DE523N3,CU,10,NA,NA,Y,09:54:00,10:21:00,06-2018-06-11,NA,1,-80,3,2,NA,No,NA
P1120,DE523N3,SO,10,BWS7,191,N,10:11:00,10:34:00,06-2018-06-11,NA,1,-80,3,2,NA,No,NA
P1142,DE523N3,SO,6,BWS7,201,Y,10:29:00,10:46:00,06-2018-06-11,NA,1,-80,3,2,NA,No,NA
P1057,JE415N2,SO,8,BWS15,421,Y,07:49:00,08:40:00,14-2018-06-12,X-2018-06-30,1,-80,3,2,NA,No,EP
P1084,JE415N2,CU,10,NA,NA,Y,08:32:00,09:06:00,14-2018-06-12,X-2018-06-30,1,-80,3,2,NA,No,EP
P1082,JE415N2,PI,10,NA,NA,Y,09:07:00,09:40:00,14-2018-06-12,X-2018-06-30,1,-80,3,2,NA,No,EP
P1133,DE525N1,CU,10,NA,NA,Y,12:20:00,12:55:00,06-2018-06-11,NA,1,-80,3,2,NA,No,NA
P1148,DE525N1,PI,10,NA,NA,Y,12:43:00,13:10:00,06-2018-06-11,NA,1,-80,3,2,NA,No,NA
P1130,DE526N1,SO,1,BWS29,841,Y,NA,NA,06-2018-06-13,NA,1,-80,3,2,NA,No,NA
P1131,DE526N1,PI,10,NA,NA,Y,09:02:00,09:22:00,06-2018-06-13,NA,1,-80,3,2,NA,No,NA
P1132,DE526N1,CU,10,NA,NA,Y,09:17:00,09:40:00,06-2018-06-13,NA,1,-80,3,2,NA,No,NA
P1107,DE526N1,CK,1,NA,NA,N,09:22:00,09:40:00,06-2018-06-13,NA,1,-80,3,2,NA,No,NA
P1071,JE419N1,SO,10,BWS16,451,Y,07:39:00,08:46:00,14-2018-06-13,X-2018-06-30,1,-80,3,2,"Each fish processed then placed in dewar immediately, due to low sockeye density.",No,NA
P1058,JE419N1,PI,10,NA,NA,Y,09:09:00,09:35:00,14-2018-06-13,X-2018-06-30,1,-80,3,2,NA,No,NA
P1065,JE419N1,CU,10,NA,NA,Y,08:46:00,09:15:00,14-2018-06-13,X-2018-06-30,1,-80,3,2,NA,No,NA
P1063,JE419N1,SO,6,BWS16,461,Y,09:28:00,09:53:00,14-2018-06-13,X-2018-06-30,1,-80,3,2,"Each fish processed then placed in dewar immediately, due to low sockeye density.",No,EP
P1115,DE527N3,CU,10,NA,NA,Y,09:57:00,10:46:00,17-2017-06-18,NA,1,-80,3,2,Chum 8 & 9 in at 10:57. All individuals put in dewar in under 20 minutes from time out of net.,No,NA
P1116,DE527N3,PI,10,NA,NA,Y,09:35:00,09:59:00,17-2017-06-18,NA,1,-80,3,2,NA,No,NA
P1042,DE530N2,PI,10,NA,NA,Y,11:31:00,11:55:00,17-2017-06-19,NA,1,-80,3,2,NA,No,KD
P1106,DE530N2,CU,10,NA,NA,Y,11:15:00,11:39:00,17-2017-06-19,NA,1,-80,3,2,NA,No,KD
P1039,DE530N2,CK,1,NA,NA,N,11:49:00,11:56:00,17-2017-06-19,NA,1,-80,3,2,NA,No,KD
P1076,JE420N1,SO,8,BWS17,481,Y,09:43:00,10:30:00,22-2018-06-20,X-2018-06-30,1,-80,3,2,NA,No,MD/EP
P1083,JE420N1,CU,10,NA,NA,Y,10:22:00,10:58:00,22-2018-06-20,X-2018-06-30,1,-80,3,2,NA,No,MD/EP
P1088,JE420N1,PI,10,NA,NA,Y,10:45:00,11:13:00,22-2018-06-20,X-2018-06-30,1,-80,3,2,NA,No,MD/EP
P1136,DE532N3,SO,10,BWS30,871,Y,NA,NA,17-2018-06-20,NA,1,-80,3,2,no ice packs for keeping fish cold while processing,No,KD
P1146,DE532N3,PI,10,NA,NA,Y,10:34:00,10:57:00,17-2018-06-20,NA,1,-80,3,2,no ice packs for keeping fish cold while processing,No,KD
P1103,DE532N3,CU,10,NA,NA,Y,10:04:00,10:35:00,17-2018-06-20,NA,1,-80,3,2,no ice packs for keeping fish cold while processing,No,KD
P1118,DE532N3,HE,9,NA,NA,N,11:55:00,12:40:00,17-2018-06-20,NA,1,-80,3,2,"first 3 herring in 12:20, no ice packs for keeping fish cold while processing",No,KD
P1090,JE421N1,SO,10,BWS18,511,Y,08:39:00,09:24:00,22-2018-06-21,X-2018-06-30,1,-80,3,2,NA,No,MD/MD
P1075,JE421N1,PI,10,NA,NA,Y,09:19:00,09:55:00,22-2018-06-21,X-2018-06-30,1,-80,3,2,NA,No,MD/MD
P1095,JE421N1,CU,10,NA,NA,Y,09:50:00,10:20:00,22-2018-06-21,X-2018-06-30,1,-80,3,2,NA,No,MD/MD
P1077,JE421N1,SO,7,BWS18,521,N,10:16:00,10:39:00,22-2018-06-21,X-2018-06-30,1,-80,3,2,NA,No,MD/MD
P1064,JE421N1,HE,10,NA,NA,N,10:33:00,11:06:00,22-2018-06-21,X-2018-06-30,1,-80,3,2,NA,No,MD/MD
P1080,JE421N2,SO,10,BWS18,528,N,12:21:00,12:51:00,22-2018-06-21,X-2018-06-30,1,-80,3,2,NA,No,MD/MD
P1093,JE421N2,SO,3,BWS18,538,N,12:47:00,12:58:00,22-2018-06-21,X-2018-06-30,1,-80,3,2,NA,No,MD/MD
P1096,JE422N1,SO,5,BWS19,541,Y,07:30:00,08:24:00,22-2018-06-23,X-2018-06-30,1,-80,3,2,"Fin clips 543 and 544 are switched. 543 is U16954, 544 is U16953",No,DS
P1062,JE422N1,PI,10,NA,NA,Y,07:34:00,08:16:00,22-2018-06-23,X-2018-06-30,1,-80,3,2,NA,No,DS
P1092,JE422N1,CU,10,NA,NA,Y,08:16:00,08:50:00,22-2018-06-23,X-2018-06-30,1,-80,3,2,NA,No,DS
P1070,JE422N1,CO,1,NA,NA,N,09:05:00,09:11:00,22-2018-06-23,X-2018-06-30,1,-80,3,2,NA,No,DS
P1059,JE422N2,SO,5,BWS19,546,Y,10:39:00,11:17:00,22-2018-06-23,X-2018-06-30,1,-80,3,2,NA,No,DS
P1094,JE422N2,SO,7,BWS19,551,N,11:18:00,11:41:00,22-2018-06-23,X-2018-06-30,1,-80,3,2,NA,No,DS
P1054,JE422N2,HE,1,NA,NA,N,11:29:00,11:33:00,22-2018-06-23,X-2018-06-30,1,-80,3,2,NA,No,DS
P1190,JE423N1,SO,1,BWS20,571,Y,07:10:00,07:32:00,24-2018-06-27,X-2018-06-30,1,-80,3,2,NA,No,MD
P1194,JE423N1,PI,10,NA,NA,Y,07:28:00,07:53:00,24-2018-06-27,X-2018-06-30,1,-80,3,2,NA,No,MD
P1174,JE423N2,CU,10,NA,NA,Y,09:10:00,10:17:00,24-2018-06-27,X-2018-06-30,1,-80,3,2,NA,No,MD
P1195,JE423N2,SO,4,BWS20,572,Y,09:16:00,10:09:00,24-2018-06-27,X-2018-06-30,1,-80,3,2,Few sockeye. Each Sample was put in dewar immediately after fin clips were extracted.,No,MD
P1185,JE423N2,CK,1,NA,NA,N,09:30:00,09:35:00,24-2018-06-27,X-2018-06-30,1,-80,3,2,NA,No,MD
P1147,DE533N2,PI,10,NA,NA,Y,10:16:00,10:36:00,18-2018-06-25,NA,1,-80,3,2,NA,No,KD
P1117,DE533N2,CU,10,NA,NA,Y,09:49:00,10:21:00,18-2018-06-25,NA,1,-80,3,2,NA,No,KD
P1105,DE534N2,SO,1,BWS8,211,Y,NA,NA,18-2018-06-25,NA,1,-80,3,2,NA,No,KD
P1119,DE534N2,PI,10,NA,NA,Y,09:14:00,09:38:00,18-2018-06-25,NA,1,-80,3,2,NA,No,KD
P1139,DE534N2,CU,10,NA,NA,Y,09:28:00,10:03:00,18-2018-06-25,NA,1,-80,3,2,NA,No,KD
P1149,DE534N2,CK,1,NA,NA,N,09:50:00,09:56:00,18-2018-06-25,NA,1,-80,3,2,NA,No,KD
P1138,DE535N1,PI,10,NA,NA,Y,07:32:00,07:52:00,18-2018-06-25,NA,1,-80,3,2,NA,No,KD
P1135,DE535N1,CU,10,NA,NA,Y,07:34:00,08:03:00,18-2018-06-25,NA,1,-80,3,2,CHUM U17341 was out way earlier thn the rest. CHUM U17341 was out @07:52,No,KD
P1108,DE536N1,SO,2,BWS21,601,Y,NA,NA,18-2018-06-25,NA,1,-80,3,2,NON STANDARD SURVEY (SETTING FOR TAGGING CREW AND FOUND SOCKEYES),No,KD
P1140,DE536N1,CU,1,NA,NA,Y,11:25:00,11:34:00,18-2018-06-25,NA,1,-80,3,2,NON STANDARD SURVEY (SETTING FOR TAGGING CREW AND FOUND SOCKEYES),No,KD
P1005,DE537N1,PI,10,NA,NA,Y,07:36:00,07:50:00,09-2018-07-03,NA,1,-80,3,2,NA,No,NA
P1040,DE537N1,CU,1,NA,NA,Y,07:44:00,07:52:00,09-2018-07-03,NA,0,-80,3,2,NA,No,NA
P1091,JE426N1,SO,1,BWS31,901,Y,08:55:00,09:10:00,21-2018-07-03,X-2018-07-17,1,-80,1,2,NA,No,MD
P1156,JE426N1,PI,10,NA,NA,Y,07:31:00,08:17:00,21-2018-07-03,X-2018-07-17,1,-80,1,2,NA,No,MD
P1164,JE426N1,CU,10,NA,NA,Y,08:15:00,08:47:00,21-2018-07-03,X-2018-07-17,1,-80,1,2,NA,No,MD
P1165,JE426N1,HE,1,NA,NA,N,08:11:00,08:17:00,21-2018-07-03,X-2018-07-17,1,-80,1,2,NA,No,MD
P1150,DE538N2,PI,6,NA,NA,Y,08:13:00,08:29:00,9-2018-07-03,NA,1,-80,3,2,NA,No,KD
P1102,DE538N2,CU,1,NA,NA,Y,08:09:00,08:14:00,9-2018-07-03,NA,1,-80,3,2,NA,No,KD
P1144,DE538N2,HE,1,NA,NA,N,08:20:00,08:29:00,9-2018-07-03,NA,1,-80,3,2,NA,No,KD
P1032,DE538N2,CK,2,NA,NA,N,08:22:00,08:30:00,9-2018-07-03,NA,1,-80,3,2,NA,No,KD
P1169,JE427N1,PI,10,NA,NA,Y,07:27:00,07:53:00,21-2018-07-04,X-2018-07-17,1,-80,1,2,NA,No,MD
P1157,JE427N1,CU,10,NA,NA,Y,07:49:00,08:17:00,21-2018-07-04,X-2018-07-17,1,-80,1,2,NA,No,MD
P1129,DE539N2,PI,10,NA,NA,Y,08:02:00,08:27:00,9-2018-07-05,NA,1,-80,3,2,NA,No,KD
P1145,DE539N2,CU,10,NA,NA,Y,08:17:00,08:42:00,9-2018-07-05,NA,1,-80,3,2,NA,No,KD
P1188,JE428N1,SO,1,BWS32,931,Y,07:24:00,07:37:00,23-2018-07-09,X-2018-07-17,1,-80,1,2,NA,No,DS
P1161,JE428N1,PI,10,NA,NA,Y,06:49:00,07:26:00,23-2018-07-09,X-2018-07-17,1,-80,1,2,NA,No,DS
P1172,JE428N1,CU,10,NA,NA,Y,07:20:00,08:04:00,23-2018-07-09,X-2018-07-17,1,-80,1,2,NA,No,DS
P1193,JE428N1,CO,1,NA,NA,N,07:52:00,07:58:00,23-2018-07-09,X-2018-07-17,1,-80,1,2,NA,No,DS
P1167,JE429N1,SO,1,BWS33,961,Y,10:39:00,10:50:00,23-2018-07-09,X-2018-07-17,1,-80,1,2,NA,No,DS
P1198,JE429N1,CU,10,NA,NA,Y,09:52:00,10:20:00,23-2018-07-09,X-2018-07-17,1,-80,1,2,NA,No,DS
P1151,JE429N1,PI,10,NA,NA,Y,10:17:00,10:47:00,23-2018-07-09,X-2018-07-17,1,-80,1,2,NA,No,DS
P1104,DE540N1,CK,1,NA,NA,N,08:57:00,09:06:00,18-2018-07-17,NA,1,-80,3,2,NA,No,NA
P1114,DE540N1,PI,10,NA,NA,Y,08:46:00,09:05:00,18-2018-07-17,NA,1,-80,3,2,NA,No,NA
P1123,DE541N1,PI,10,NA,NA,Y,09:39:00,10:05:00,17-2018-08-01,NA,1,-80,3,2,NA,No,NA
P1113,DE541N1,CU,6,NA,NA,Y,09:16:00,09:45:00,17-2018-08-01,NA,1,-80,3,2,NA,No,NA
