ufn,species,seine_id,package_id,time_out,time_dewar,fork_length,height,weight,analysis_planned
U16441,PI,DE506N1,P1045,NA,NA,73,13,3.4,SEMSP
U16442,PI,DE506N1,P1045,NA,NA,77,13,3.4,SEMSP
U16443,PI,DE506N1,P1045,NA,NA,68,12,2.2,SEMSP
U16444,PI,DE506N1,P1045,NA,NA,60,9,1.6,SEMSP
U16445,PI,DE506N1,P1045,NA,NA,76,14,3.8,SEMSP
U16446,PI,DE506N1,P1045,NA,NA,74,13,3,SEMSP
U16447,PI,DE506N1,P1045,NA,NA,79,15,4,SEMSP
U16448,PI,DE506N1,P1045,NA,NA,68,13,2.2,SEMSP
U16449,PI,DE506N1,P1045,NA,NA,65,12,2.1,SEMSP
U16450,PI,DE506N1,P1045,NA,NA,55,10,1.4,SEMSP
U16431,CU,DE506N1,P1044,NA,NA,80,16,5,SEMSP
U16432,CU,DE506N1,P1044,NA,NA,80,15,4.2,SEMSP
U16433,CU,DE506N1,P1044,NA,NA,74,14,3.4,SEMSP
U16434,CU,DE506N1,P1044,NA,NA,74,12,3.8,SEMSP
U16435,CU,DE506N1,P1044,NA,NA,98,21,9.8,SEMSP
U16436,CU,DE506N1,P1044,NA,NA,76,14,4.1,SEMSP
U16437,CU,DE506N1,P1044,NA,NA,79,16,4.1,SEMSP
U16438,CU,DE506N1,P1044,NA,NA,69,13,2.8,SEMSP
U16439,CU,DE506N1,P1044,NA,NA,63,12,2.2,SEMSP
U16440,CU,DE506N1,P1044,NA,NA,76,13,4.4,SEMSP
U16421,CO,DE506N1,P1043,NA,NA,110,24,14.6,SEMSP
U16422,CO,DE506N1,P1043,NA,NA,102,25,10.7,SEMSP
U16491,CU,DE510N1,P1050,NA,NA,109,21,12,SEMSP
U16492,CU,DE510N1,P1050,NA,NA,102,19,10.9,SEMSP
U16493,CU,DE510N1,P1050,NA,NA,97,18,9.2,SEMSP
U16494,CU,DE510N1,P1050,NA,NA,101,19,10.7,SEMSP
U16495,CU,DE510N1,P1050,NA,NA,91,16,6.9,SEMSP
U16496,CU,DE510N1,P1050,NA,NA,88,18,6.9,SEMSP
U16497,CU,DE510N1,P1050,NA,NA,84,18,6.6,SEMSP
U16498,CU,DE510N1,P1050,NA,NA,90,16,6,SEMSP
U16499,CU,DE510N1,P1050,NA,NA,95,18,7,SEMSP
U16500,CU,DE510N1,P1050,NA,NA,89,17,7,SEMSP
U16051,PI,DE510N1,P1006,NA,NA,80,14,4.1,SEMSP
U16052,PI,DE510N1,P1006,NA,NA,82,16,5.5,SEMSP
U16053,PI,DE510N1,P1006,NA,NA,79,14,4.6,SEMSP
U16054,PI,DE510N1,P1006,NA,NA,78,14,4.9,SEMSP
U16055,PI,DE510N1,P1006,NA,NA,74,13,4,SEMSP
U16056,PI,DE510N1,P1006,NA,NA,77,15,3.7,SEMSP
U16057,PI,DE510N1,P1006,NA,NA,81,14,3.9,SEMSP
U16058,PI,DE510N1,P1006,NA,NA,74,13,3.6,SEMSP
U16059,PI,DE510N1,P1006,NA,NA,83,14,3.9,SEMSP
U16060,PI,DE510N1,P1006,NA,NA,74,13,3.6,SEMSP
U16001,PI,DE516N2,P1001,NA,NA,78,14,4.6,SEMSP
U16002,PI,DE516N2,P1001,NA,NA,84,16,5,SEMSP
U16003,PI,DE516N2,P1001,NA,NA,71,12,3.3,SEMSP
U16004,PI,DE516N2,P1001,NA,NA,73,13,3.6,SEMSP
U16005,PI,DE516N2,P1001,NA,NA,81,14,4,SEMSP
U16006,PI,DE516N2,P1001,NA,NA,61,10,0.9,SEMSP
U16007,PI,DE516N2,P1001,NA,NA,71,11,2.3,SEMSP
U16008,PI,DE516N2,P1001,NA,NA,65,10,2.3,SEMSP
U16009,PI,DE516N2,P1001,NA,NA,70,13,2.7,SEMSP
U16010,PI,DE516N2,P1001,NA,NA,83,14,4.9,SEMSP
U16101,CU,DE516N2,P1011,NA,NA,79,15,4.8,SEMSP
U16102,CU,DE516N2,P1011,NA,NA,111,24,14.5,SEMSP
U16103,CU,DE516N2,P1011,NA,NA,82,15,5.3,SEMSP
U16104,CU,DE516N2,P1011,NA,NA,73,12,2.4,SEMSP
U16105,CU,DE516N2,P1011,NA,NA,87,15,6.5,SEMSP
U16106,CU,DE516N2,P1011,NA,NA,78,15,4.7,SEMSP
U16107,CU,DE516N2,P1011,NA,NA,81,14,5.1,SEMSP
U16091,CO,DE516N2,P1010,NA,NA,122,29,26.4,SEMSP
U16092,CO,DE516N2,P1010,NA,NA,125,28,23.5,SEMSP
U16093,CO,DE516N2,P1010,NA,NA,135,26,25.5,SEMSP
U16094,CO,DE516N2,P1010,NA,NA,145,31,34,SEMSP
U16095,CO,DE516N2,P1010,NA,NA,134,29,27,SEMSP
U16096,CO,DE516N2,P1010,NA,NA,126,29,24.5,SEMSP
U16097,CO,DE516N2,P1010,NA,NA,136,30,29,SEMSP
U16098,CO,DE516N2,P1010,NA,NA,131,28,25.5,SEMSP
U16099,CO,DE516N2,P1010,NA,NA,133,32,32,SEMSP
U16100,CO,DE516N2,P1010,NA,NA,159,37,48,SEMSP
U16071,CK,DE516N2,P1008,NA,NA,102,22,11.4,SEMSP
U16781,SO,JE402N1,P1079,09:11:00,09:24:00,148,27,31.5,SEMSP
U16782,SO,JE402N1,P1079,09:24:00,09:42:00,149,26,33.2,SEMSP
U16783,SO,JE402N1,P1079,09:31:00,09:54:00,184,36,71.5,SEMSP
U16061,SO,DE517N2,P1007,08:40:00,09:11:00,135,23,24,SEMSP
U16062,SO,DE517N2,P1007,08:42:00,09:11:00,118,23,17,SEMSP
U16063,SO,DE517N2,P1007,08:50:00,09:23:00,136,27,24.5,SEMSP
U16064,SO,DE517N2,P1007,08:54:00,09:23:00,126,24,18.5,SEMSP
U16065,SO,DE517N2,P1007,08:57:00,09:30:00,123,23,16,SEMSP
U16066,SO,DE517N2,P1007,09:08:00,09:30:00,130,27,21.5,SEMSP
U16067,SO,DE517N2,P1007,09:20:00,09:40:00,126,21,15.5,SEMSP
U16068,SO,DE517N2,P1007,09:23:00,09:40:00,130,25,20.5,SEMSP
U16069,SO,DE517N2,P1007,09:29:00,09:50:00,129,24,18,SEMSP
U16070,SO,DE517N2,P1007,09:39:00,09:50:00,111,21,14,SEMSP
U16111,CU,DE517N2,P1012,NA,NA,88,NA,6.2,SEMSP
U16112,CU,DE517N2,P1012,NA,NA,99,22,10,SEMSP
U16113,CU,DE517N2,P1012,NA,NA,79,15,4.1,SEMSP
U16114,CU,DE517N2,P1012,NA,NA,118,23,7.8,SEMSP
U16115,CU,DE517N2,P1012,NA,NA,95,17,6.9,SEMSP
U16116,CU,DE517N2,P1012,NA,NA,84,15,4.5,SEMSP
U16117,CU,DE517N2,P1012,NA,NA,77,14,3.7,SEMSP
U16118,CU,DE517N2,P1012,NA,NA,102,17,8.8,SEMSP
U16481,PI,DE517N2,P1049,NA,NA,95,18,8.2,SEMSP
U16482,PI,DE517N2,P1049,NA,NA,85,15,5.1,SEMSP
U16483,PI,DE517N2,P1049,NA,NA,96,18,6.4,SEMSP
U16484,PI,DE517N2,P1049,NA,NA,98,17,6.8,SEMSP
U16485,PI,DE517N2,P1049,NA,NA,78,14,3.4,SEMSP
U16486,PI,DE517N2,P1049,NA,NA,70,12,2.4,SEMSP
U16487,PI,DE517N2,P1049,NA,NA,89,13,5.5,SEMSP
U16488,PI,DE517N2,P1049,NA,NA,95,18,7.6,SEMSP
U16489,PI,DE517N2,P1049,NA,NA,90,15,6,SEMSP
U16490,PI,DE517N2,P1049,NA,NA,86,14,5.2,SEMSP
U16191,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16192,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16193,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16194,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16195,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16196,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16197,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16198,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16199,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16200,SO,DE517N2,P1020,NA,NA,NA,NA,NA,SEMSP
U16251,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16252,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16253,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16254,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16255,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16256,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16257,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16258,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16259,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16260,SO,DE517N2,P1026,NA,NA,NA,NA,NA,SEMSP
U16131,CO,DE517N2,P1014,NA,NA,NA,NA,NA,SEMSP
U16171,HE,DE517N2,P1018,NA,NA,NA,NA,NA,SEMSP
U16172,HE,DE517N2,P1018,NA,NA,NA,NA,NA,SEMSP
U16181,SO,DE531N1,P1019,09:22:00,09:34:00,100,20,9.6,SEMSP
U16182,SO,DE531N1,P1019,09:28:00,09:34:00,98,18,9.2,SEMSP
U16183,SO,DE531N1,P1019,09:32:00,09:42:00,96,18,7.5,SEMSP
U16184,SO,DE531N1,P1019,09:35:00,09:42:00,117,23,16.2,SEMSP
U16185,SO,DE531N1,P1019,09:40:00,09:52:00,98,20,7.2,SEMSP
U16186,SO,DE531N1,P1019,09:45:00,09:52:00,90,16,5.9,SEMSP
U16187,SO,DE531N1,P1019,09:50:00,10:02:00,82,17,5.1,SEMSP
U16188,SO,DE531N1,P1019,09:53:00,10:02:00,92,19,7.7,SEMSP
U16189,SO,DE531N1,P1019,10:01:00,10:12:00,90,16,6.4,SEMSP
