ufn,semsp_id
U544,2015-06-01-D09-SO-26
U794,2015-06-03-D09-SO-11
U775,2015-06-03-D09-SO-13
U776,2015-06-03-D09-SO-14
U818,2015-06-05-D09-SO-11
U759,2015-06-05-D09-SO-12
U824,2015-06-05-D09-SO-13
U833,2015-06-05-D09-SO-14
U817,2015-06-05-D09-SO-15
U834,2015-06-05-D09-SO-16
U988,2015-06-07-D09-SO-10
U987,2015-06-07-D09-SO-11
U959,2015-06-07-D09-SO-12
U986,2015-06-07-D09-SO-13
U993,2015-06-07-D09-SO-14
U994,2015-06-07-D09-SO-15
U862,2015-06-09-D09-SO-21
U863,2015-06-09-D09-SO-22
U848,2015-06-09-D09-SO-23
U839,2015-06-09-D09-SO-24
U825,2015-06-09-D09-SO-25
U827,2015-06-09-D09-SO-26
U769,2015-06-11-D09-SO-21
U774,2015-06-11-D09-SO-26
U899,2015-06-18-D09-SO-22
U898,2015-06-18-D09-SO-23
U890,2015-06-18-D09-SO-24
U852,2015-06-18-D09-SO-25
U903,2015-06-18-D09-SO-26
U897,2015-06-18-D09-SO-27
U1012,2015-06-20-D09-SO-18
U1004,2015-06-20-D09-SO-21
U1001,2015-06-20-D09-SO-22
U996,2015-06-20-D09-SO-23
U997,2015-06-20-D09-SO-25
U905,2015-06-22-D09-SO-21
U912,2015-06-22-D09-SO-22
U853,2015-06-22-D09-SO-23
U873,2015-06-22-D09-SO-24
U906,2015-06-22-D09-SO-25
U875,2015-06-22-D09-SO-26
U887,2015-06-27-D09-SO-14
U896,2015-06-27-D09-SO-15
U893,2015-06-27-D09-SO-17
U885,2015-06-27-D09-SO-18
U886,2015-06-27-D09-SO-19
U1996,2016-05-23-D09-SO-1
U4618,2016-05-23-D09-SO-11
U4555,2016-05-23-D09-SO-12
U4531,2016-05-23-D09-SO-13
U2002,2016-05-23-D09-SO-14
U4616,2016-05-23-D09-SO-25
U4192,2016-05-27-D09-SO-10
U4309,2016-05-27-D09-SO-14
U4188,2016-05-27-D09-SO-16
U4313,2016-05-27-D09-SO-17
U4311,2016-05-27-D09-SO-19
U4193,2016-05-27-D09-SO-20
U1675,2016-06-07-D09-SO-11
U1657,2016-06-07-D09-SO-12
U1664,2016-06-07-D09-SO-13
U1660,2016-06-07-D09-SO-14
U1658,2016-06-07-D09-SO-15
U1665,2016-06-07-D09-SO-16
U1576,2016-06-14-D09-SO-1
U1578,2016-06-14-D09-SO-10
U1574,2016-06-14-D09-SO-2
U1577,2016-06-14-D09-SO-3
U1569,2016-06-14-D09-SO-4
U1570,2016-06-14-D09-SO-5
U1157,
U1164,
U1156,
U1155,
U1160,
U1168,
U1346,
U1360,
U1345,
U1358,
U1369,
U1368,
U1382,
U1371,
U1185,
U1118,
U1183,
U1431,
U1501,
U1432,
U1468,
U1433,
U1434,
U1435,
U1436,
U1465,
U1499,
U1466,
U1651,
U1639,
U1647,
U1648,
U1646,
U1649,
U1640,
U2438,
U2437,
U2435,
U2434,
U4390,
U4479,
U4478,
U664,
U665,
U596,
U632,
U666,
U595,
U681,
U631,
U660,
U674,
U673,
U672,
U612,
U765,
U764,
U763,
U762,
U878,
U917,
U854,
U916,
U1351,2015-06-21-J06-SO-1
U1320,2015-06-21-J06-SO-10
U1334,2015-06-21-J06-SO-11
U1361,2015-06-21-J06-SO-16
U1332,2015-06-21-J06-SO-18
U1300,2015-06-21-J06-SO-3
U1333,2015-06-21-J06-SO-4
U1374,2015-05-24-J06-SO-17
U1186,2015-05-24-J06-SO-18
U1187,2015-05-24-J06-SO-19
U1391,2015-05-24-J06-SO-20
U1373,2015-05-24-J06-SO-21
U1120,2015-05-24-J06-SO-22
U1475,2016-06-19-J06-SO-12
U1477,2016-06-19-J06-SO-13
U1472,2016-06-19-J06-SO-14
U1476,2016-06-19-J06-SO-15
U1478,2016-06-19-J06-SO-16
U1464,2016-06-19-J06-SO-17
U1473,2016-06-19-J06-SO-18
U1474,2016-06-19-J06-SO-19
U1532,2016-06-25-J06-SO-13
U1535,2016-06-25-J06-SO-15
U1534,2016-06-25-J06-SO-16
U1533,2016-06-25-J06-SO-18
U1610,2016-06-04-J06-SO-2
U1598,2016-06-04-J06-SO-3
U1560,2016-06-04-J06-SO-4
U1597,2016-06-04-J06-SO-5
U1596,2016-06-04-J06-SO-6
U1609,2016-06-04-J06-SO-7
U1559,2016-06-04-J06-SO-8
U1595,2016-06-04-J06-SO-9
U1286,2015-06-16-J09-SO-10
U1283,2015-06-16-J09-SO-12
U1275,2015-06-16-J09-SO-13
U1284,2015-06-16-J09-SO-14
U1276,2015-06-16-J09-SO-3
U1274,2015-06-16-J09-SO-4
U1273,2015-06-16-J09-SO-6
U1238,2015-06-16-J09-SO-7
U695,2015-05-26-J09-SO-16
U1350,2015-05-26-J09-SO-17
U478,2015-05-26-J09-SO-18
U694,2015-05-26-J09-SO-20
U480,2015-05-26-J09-SO-22
U697,2015-05-26-J09-SO-24
U696,2015-05-26-J09-SO-25
U1355,2015-06-19-J09-SO-11
U1341,2015-06-19-J09-SO-12
U1336,2015-06-19-J09-SO-16
U1354,2015-06-19-J09-SO-17
U1353,2015-06-19-J09-SO-18
U1356,2015-06-19-J09-SO-2
U1362,2015-06-19-J09-SO-4
U1337,2015-06-19-J09-SO-7
U1561,2016-06-02-J09-SO-11
U1540,2016-06-02-J09-SO-12
U1551,2016-06-02-J09-SO-13
U1554,2016-06-02-J09-SO-14
U1562,2016-06-02-J09-SO-15
U1563,2016-06-02-J09-SO-16
U1552,2016-06-02-J09-SO-17
U1553,2016-06-02-J09-SO-18
U1787,2016-05-27-J09-SO-11
U1780,2016-05-27-J09-SO-12
U1789,2016-05-27-J09-SO-13
U1790,2016-05-27-J09-SO-14
U1775,2016-05-27-J09-SO-15
U1776,2016-05-27-J09-SO-16
U1777,2016-05-27-J09-SO-17
U1778,2016-05-27-J09-SO-18
U1832,2016-07-04-J09-SO-2
U1829,2016-07-04-J09-SO-3
U1827,2016-07-04-J09-SO-4
U1828,2016-07-04-J09-SO-5
U1841,2016-07-04-J09-SO-6
U1835,2016-07-04-J09-SO-7
U1834,2016-07-04-J09-SO-8
U1833,2016-07-04-J09-SO-9
U568,2015-06-23-J09-SO-19
U584,2015-06-23-J09-SO-20
U559,2015-06-23-J09-SO-21
U565,2015-06-23-J09-SO-22
U569,2015-06-23-J09-SO-24
U558,2015-06-23-J09-SO-25
U566,2015-06-23-J09-SO-27
U586,2015-06-23-J09-SO-28
U527,2015-07-07-J09-SO-1
U537,2015-07-07-J09-SO-10
U529,2015-07-07-J09-SO-12
U538,2015-07-07-J09-SO-16
U528,2015-07-07-J09-SO-2
U548,2015-07-07-J09-SO-3
U549,2015-07-07-J09-SO-5
U530,2015-07-07-J09-SO-6
U547,2015-07-07-J09-SO-8
U4353,2016-05-22-J09-SO-16
U4326,2016-05-22-J09-SO-17
U4325,2016-05-22-J09-SO-20
U4323,2016-05-22-J09-SO-21
U4322,2016-05-22-J09-SO-22
U4320,2016-05-22-J09-SO-23
U4319,2016-05-22-J09-SO-24
U4352,2016-05-22-J09-SO-26
U4453,2016-06-09-J09-SO-11
U4450,2016-06-09-J09-SO-12
U4447,2016-06-09-J09-SO-13
U4449,2016-06-09-J09-SO-14
U4445,2016-06-09-J09-SO-15
U4381,2016-06-09-J09-SO-16
U4451,2016-06-09-J09-SO-17
U4452,2016-06-09-J09-SO-18
U1722,2016-06-18-J09-SO-11
U1724,2016-06-18-J09-SO-12
U1721,2016-06-18-J09-SO-13
U1725,2016-06-18-J09-SO-14
U1726,2016-06-18-J09-SO-15
U1727,2016-06-18-J09-SO-16
U1729,2016-06-18-J09-SO-17
U1723,2016-06-18-J09-SO-18
U1728,2016-06-18-J09-SO-19
U4797,2015-05-31-J09-SO-1
U4869,2015-05-31-J09-SO-10
U4870,2015-05-31-J09-SO-16
U4868,2015-05-31-J09-SO-2
U4866,2015-05-31-J09-SO-3
U4796,2015-05-31-J09-SO-4
U4867,2015-05-31-J09-SO-9
U618,2015-07-01-J09-SO-1
U616,2015-07-01-J09-SO-10
U622,2015-07-01-J09-SO-11
U614,2015-07-01-J09-SO-12
U615,2015-07-01-J09-SO-13
U599,2015-07-01-J09-SO-2
U651,2015-07-01-J09-SO-4
U642,2015-07-01-J09-SO-7
U640,2015-07-01-J09-SO-8
U617,2015-07-01-J09-SO-9
U1044,2015-06-07-J09-SO-1
U1025,2015-06-07-J09-SO-10
U1020,2015-06-07-J09-SO-11
U1019,2015-06-07-J09-SO-12
U1023,2015-06-07-J09-SO-13
U1018,2015-06-07-J09-SO-14
U1027,2015-06-07-J09-SO-15
U1133,2015-06-01-J02-SO-16
U1125,2015-06-01-J02-SO-17
U1122,2015-06-01-J02-SO-19
U1123,2015-06-01-J02-SO-22
U1134,2015-06-01-J02-SO-24
U1124,2015-06-01-J02-SO-28
U1132,2015-06-01-J02-SO-29
U1206,2015-05-24-J02-SO-10
U1207,2015-05-24-J02-SO-11
U1216,2015-05-24-J02-SO-15
U1208,2015-05-24-J02-SO-2
U1215,2015-05-24-J02-SO-5
U1222,2015-05-24-J02-SO-8
U1291,2015-06-09-J02-SO-19
U1240,2015-06-09-J02-SO-20
U1269,2015-06-09-J02-SO-21
U1277,2015-06-09-J02-SO-22
U1279,2015-06-09-J02-SO-23
U1239,2015-06-09-J02-SO-24
U1311,2015-06-16-J02-SO-1
U1302,2015-06-16-J02-SO-2
U1301,2015-06-16-J02-SO-3
U1288,2015-06-16-J02-SO-4
U1292,2015-06-16-J02-SO-5
U1270,2015-06-16-J02-SO-6
U1701,2016-06-09-J02-SO-21
U1668,2016-06-09-J02-SO-22
U1691,2016-06-09-J02-SO-23
U1669,2016-06-09-J02-SO-24
U1670,2016-06-09-J02-SO-25
U1667,2016-06-09-J02-SO-26
U1863,2016-05-22-J02-SO-1
U1864,2016-05-22-J02-SO-10
U1862,2016-05-22-J02-SO-14
U1866,2016-05-22-J02-SO-3
U1865,2016-05-22-J02-SO-5
U1898,2016-06-01-J02-SO-11
U1901,2016-06-01-J02-SO-12
U1893,2016-06-01-J02-SO-13
U1892,2016-06-01-J02-SO-14
U1899,2016-06-01-J02-SO-15
U1900,2016-06-01-J02-SO-16
U1897,2016-06-01-J02-SO-17
U4428,2016-05-28-J02-SO-11
U4427,2016-05-28-J02-SO-12
U4396,2016-05-28-J02-SO-13
U4398,2016-05-28-J02-SO-14
U4397,2016-05-28-J02-SO-15
U4399,2016-05-28-J02-SO-16
U649,2015-06-19-J02-SO-14
U647,2015-06-19-J02-SO-15
U657,2015-06-19-J02-SO-2
U624,2015-06-19-J02-SO-4
U656,2015-06-19-J02-SO-7
U655,2015-06-19-J02-SO-8
U625,2015-06-19-J02-SO-9
U593,2015-06-23-J02-SO-1
U592,2015-06-23-J02-SO-12
U591,2015-06-23-J02-SO-13
U576,2015-06-23-J02-SO-14
U329,2015-06-23-J02-SO-15
U621,2015-06-23-J02-SO-3
U1149,2015-06-23-J03-SO-1
U1166,2015-06-23-J03-SO-10
U1192,2015-06-23-J03-SO-11
U1167,2015-06-23-J03-SO-12
U1172,2015-06-23-J03-SO-2
U1158,2015-06-23-J03-SO-7
U1150,2015-06-23-J03-SO-8
U1236,2015-06-08-J03-SO-1
U1271,2015-06-08-J03-SO-11
U1250,2015-06-08-J03-SO-13
U1267,2015-06-08-J03-SO-14
U1260,2015-06-08-J03-SO-15
U1242,2015-06-15-J03-SO-12
U1253,2015-06-15-J03-SO-13
