"","ufn","semsp_id","sample_type","sample_id","container_id","container_cell","sample_location","comments_sample","sample_status","sample_qc_flag","sample_flag_reason","sample_qc_log","container_type","storage_medium","date_updated","current_location","storage_unit","storage_tier_1","storage_tier_2","shipping_container","date_shipped","shipping_destination","date_received","expecting_return","date_returned","comments"
"25","U1944","2016-05-26-D07-SO-23","fatty_acid","S1944FA1","BFASO31",46,"BFASO31-46",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"26","U1945","2016-05-26-D07-SO-1","fatty_acid","S1945FA1","BFASO31",47,"BFASO31-47",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"27","U1946","2016-05-26-D07-SO-28","fatty_acid","S1946FA1","BFASO31",48,"BFASO31-48",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"28","U1947","2016-05-26-D07-SO-25","fatty_acid","S1947FA1","BFASO31",49,"BFASO31-49",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"29","U1948","2016-05-26-D07-SO-27","fatty_acid","S1948FA1","BFASO31",50,"BFASO31-50",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"30","U1949","2016-05-26-D07-SO-30","fatty_acid","S1949FA1","BFASO31",51,"BFASO31-51",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"31","U1950","2016-05-26-D07-SO-29","fatty_acid","S1950FA1","BFASO31",52,"BFASO31-52",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"32","U1952","2016-05-19-D07-SO-27","fatty_acid","S1952FA1","BFASO30",30,"BFASO30-30",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 6",NA,NA,NA,NA,NA,NA,NA
"33","U1961","2016-05-26-D07-SO-26","fatty_acid","S1961FA1","BFASO31",53,"BFASO31-53",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"34","U1962","2016-05-19-D07-SO-23","fatty_acid","S1962FA1","BFASO31",54,"BFASO31-54",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
