UFN,UFN,BOX #,WELL #,UFN,NOTES
U3616,U3616,102,38,U3616,
U3617,U3617,102,39,U3617,
U3618,U3618,102,40,U3618,
U3619,U3619,102,41,U3619,
U3620,U3620,102,42,U3620,
U3621,U3621,102,43,U3621,
U3622,U3622,102,44,U3622,
3162,U3162,102,45,U3162,
3178,U3178,102,46,U3178,
3180,U3180,102,47,U3180,
3181,U3181,102,48,U3181,
3185,U3185,102,49,U3185,
3187,U3187,102,50,U3187,
U4008,U4008,102,51,U4008,
U4009,U4009,102,52,U4009,
U3977,U3977,102,53,U3977,
U3976,U3976,102,54,U3976,
U1402,U1402,102,55,U1402,
U1403,U1403,102,56,U1403,
2834,U2834,102,57,U2834,
2835,U2835,102,58,U2835,
2836,U2836,102,59,U2836,
2837,U2837,102,60,U2837,
2838,U2838,102,61,U2838,
2516,U2516,102,62,U2516,
2515,U2515,102,63,U2515,
2514,U2514,102,64,U2514,
2899,U2899,102,65,U2899,
2900,U2900,102,66,U2900,
3201,U3201,102,67,U3201,
3202,U3202,102,68,U3202,
2527,U2527,102,69,U2527,
U597,U597,102,70,U597,
U613,U613,102,71,U613,
U598,U598,102,72,U598,
U635,U635,102,73,U635,
U636,U636,102,74,U636,
U637,U637,102,75,U637,
U638,U638,102,76,U638,
U639,U639,102,77,U639,
U658,U658,102,78,U658,
U662,U662,102,79,U662,
U663,U663,102,80,U663,
U650,U650,102,81,U650,
U671,U671,102,82,U671,
U683,U683,102,83,U683,
U684,U684,102,84,U684,
U667,U667,102,85,U667,
U675,U675,102,86,U675,
1569,U1569,103,1,U1569,
1570,U1570,103,2,U1570,
1571,U1571,103,3,U1571,
1572,U1572,103,4,U1572,
1573,U1573,103,5,U1573,
1574,U1574,103,6,U1574,
1575,U1575,103,7,U1575,
1576,U1576,103,8,U1576,
1577,U1577,103,9,U1577,
1578,U1578,103,10,U1578,
1657,U1657,103,11,U1657,
1664,U1664,103,12,U1664,
1675,U1675,103,13,U1675,
1658,U1658,103,14,U1658,
1665,U1665,103,15,U1665,
1659,U1659,103,16,U1659,
1676,U1676,103,17,U1676,
1666,U1666,103,18,U1666,
1677,U1677,103,19,U1677,
1660,U1660,103,20,U1660,
1771,U1771,103,21,U1771,
1786,U1786,103,22,U1786,
1772,U1772,103,23,U1772,
1773,U1773,103,24,U1773,
1774,U1774,103,25,U1774,
U436,U436,103,26,U436,
U437,U437,103,27,U437,
U441,U441,103,28,U441,
U442,U442,103,29,U442,
U438,U438,103,30,U438,
U327,U327,103,31,U327,
U443,U443,103,32,U443,
U439,U439,103,33,U439,
U444,U444,103,34,U444,
U445,U445,103,35,U445,
U299,U299,103,36,U299,
