ufn,species,year,location
U10491,SO,2017,in_freezer
U10492,SO,2017,in_freezer
U10493,SO,2017,in_freezer
U10494,SO,2017,in_freezer
U10495,SO,2017,in_freezer
U10496,SO,2017,in_freezer
U10497,SO,2017,in_freezer
U10498,SO,2017,in_freezer
U10499,SO,2017,in_freezer
U10500,SO,2017,in_freezer
U10501,SO,2017,in_freezer
U10502,SO,2017,in_freezer
U10503,SO,2017,in_freezer
U10504,SO,2017,in_freezer
U10505,SO,2017,in_freezer
U10506,SO,2017,in_freezer
U10507,SO,2017,in_freezer
U10508,SO,2017,in_freezer
U10509,SO,2017,in_freezer
U10510,SO,2017,in_freezer
U10511,PI,2017,in_freezer
U10512,PI,2017,in_freezer
U10513,PI,2017,in_freezer
U10514,PI,2017,in_freezer
U10515,PI,2017,in_freezer
U10516,PI,2017,in_freezer
U10517,PI,2017,in_freezer
U10518,PI,2017,in_freezer
U10519,PI,2017,in_freezer
U10520,PI,2017,in_freezer
U10521,CU,2017,in_freezer
U10522,CU,2017,in_freezer
U10523,CU,2017,in_freezer
U10524,CU,2017,in_freezer
U10525,CU,2017,in_freezer
U10526,CU,2017,in_freezer
U10527,CU,2017,in_freezer
U10528,CU,2017,in_freezer
U10529,CU,2017,in_freezer
U10530,CU,2017,in_freezer
U10571,SO,2017,in_freezer
U10572,SO,2017,in_freezer
U10573,SO,2017,in_freezer
U10574,SO,2017,in_freezer
U10575,SO,2017,in_freezer
U10576,SO,2017,in_freezer
U10577,SO,2017,in_freezer
U10578,SO,2017,in_freezer
U10579,SO,2017,in_freezer
U10580,SO,2017,in_freezer
U10581,SO,2017,in_freezer
U10582,SO,2017,in_freezer
U10583,SO,2017,in_freezer
U10584,SO,2017,in_freezer
U10585,SO,2017,in_freezer
U10586,SO,2017,in_freezer
U10587,SO,2017,in_freezer
U10588,SO,2017,in_freezer
U10589,SO,2017,in_freezer
U10590,SO,2017,in_freezer
U10591,PI,2017,in_freezer
U10592,PI,2017,in_freezer
U10593,PI,2017,in_freezer
U10594,PI,2017,in_freezer
U10595,PI,2017,in_freezer
U10601,CU,2017,in_freezer
U10602,CU,2017,in_freezer
U10603,CU,2017,in_freezer
U10604,CU,2017,in_freezer
U10605,CU,2017,in_freezer
U10606,CU,2017,in_freezer
U10607,CU,2017,in_freezer
U10608,CU,2017,in_freezer
U10609,CU,2017,in_freezer
U10610,CU,2017,in_freezer
U12971,SO,2017,in_freezer
U12972,SO,2017,in_freezer
U12973,SO,2017,in_freezer
U12974,SO,2017,in_freezer
U12975,SO,2017,in_freezer
U12976,SO,2017,in_freezer
U12977,SO,2017,in_freezer
U12978,SO,2017,in_freezer
U12979,SO,2017,in_freezer
U12980,SO,2017,in_freezer
U12981,SO,2017,in_freezer
U12982,SO,2017,in_freezer
U12983,SO,2017,in_freezer
U12984,SO,2017,in_freezer
U12985,SO,2017,in_freezer
U12986,SO,2017,in_freezer
U12987,SO,2017,in_freezer
U12988,SO,2017,in_freezer
U12989,SO,2017,in_freezer
U12990,SO,2017,in_freezer
U12991,PI,2017,in_freezer
U12992,PI,2017,in_freezer
U12993,PI,2017,in_freezer
U12994,PI,2017,in_freezer
U12995,PI,2017,in_freezer
U12996,PI,2017,in_freezer
U12997,PI,2017,in_freezer
U12998,PI,2017,in_freezer
U12999,PI,2017,in_freezer
U13000,PI,2017,in_freezer
U13001,CU,2017,in_freezer
U13002,CU,2017,in_freezer
U13003,CU,2017,in_freezer
U13004,CU,2017,in_freezer
U13005,CU,2017,in_freezer
U13006,CU,2017,in_freezer
U13007,CU,2017,in_freezer
U13008,CU,2017,in_freezer
U13009,CU,2017,in_freezer
U13010,CU,2017,in_freezer
U15346,SO,2017,in_freezer
U15347,SO,2017,in_freezer
U15348,SO,2017,in_freezer
U15349,SO,2017,in_freezer
U15350,SO,2017,in_freezer
U15351,SO,2017,in_freezer
U15352,SO,2017,in_freezer
U15353,SO,2017,in_freezer
U15354,SO,2017,in_freezer
U15355,SO,2017,in_freezer
U15356,PI,2017,in_freezer
U15357,PI,2017,in_freezer
U15358,PI,2017,in_freezer
U15359,PI,2017,in_freezer
U15360,PI,2017,in_freezer
U15361,PI,2017,in_freezer
U15362,PI,2017,in_freezer
U15363,PI,2017,in_freezer
U15364,PI,2017,in_freezer
U15365,PI,2017,in_freezer
U15366,CU,2017,in_freezer
U15367,CU,2017,in_freezer
U15368,CU,2017,in_freezer
U15369,CU,2017,in_freezer
U15370,CU,2017,in_freezer
U15371,CU,2017,in_freezer
U15372,CU,2017,in_freezer
U15373,CU,2017,in_freezer
U15374,CU,2017,in_freezer
U15375,CU,2017,in_freezer
U15436,SO,2017,in_freezer
U15437,SO,2017,in_freezer
U15438,SO,2017,in_freezer
U15439,SO,2017,in_freezer
U15440,SO,2017,in_freezer
U15441,SO,2017,in_freezer
U15442,SO,2017,in_freezer
U15443,SO,2017,in_freezer
U15444,SO,2017,in_freezer
U15446,PI,2017,in_freezer
U15447,PI,2017,in_freezer
U15448,PI,2017,in_freezer
U15449,PI,2017,in_freezer
U15450,PI,2017,in_freezer
U15456,CU,2017,in_freezer
U15457,CU,2017,in_freezer
U15458,CU,2017,in_freezer
U15459,CU,2017,in_freezer
U15460,CU,2017,in_freezer
U15461,CU,2017,in_freezer
U15462,CU,2017,in_freezer
U15463,CU,2017,in_freezer
U15464,CU,2017,in_freezer
U15465,CU,2017,in_freezer
