ufn,species,year,location
U1014,SO,2015,in_freezer
U1007,SO,2015,in_freezer
U1000,SO,2015,in_freezer
U947,SO,2015,in_freezer
U1021,SO,2015,in_freezer
U948,SO,2015,in_freezer
U949,SO,2015,in_freezer
U1005,SO,2015,in_freezer
U1006,SO,2015,in_freezer
U1013,SO,2015,in_freezer
U999,SO,2015,in_freezer
U818,SO,2015,in_freezer
U759,SO,2015,in_freezer
U824,SO,2015,in_freezer
U833,SO,2015,in_freezer
U834,SO,2015,in_freezer
U820,SO,2015,in_freezer
U760,SO,2015,in_freezer
U819,SO,2015,in_freezer
U817,SO,2015,in_freezer
U832,SO,2015,in_freezer
U267,SO,2015,in_freezer
U130,SO,2015,in_freezer
U288,SO,2015,in_freezer
U276,SO,2015,in_freezer
U275,SO,2015,in_freezer
U266,SO,2015,in_freezer
U277,SO,2015,in_freezer
U287,SO,2015,in_freezer
U289,SO,2015,in_freezer
U271,SO,2015,in_freezer
U243,SO,2015,in_freezer
U237,SO,2015,in_freezer
U244,SO,2015,in_freezer
U220,SO,2015,in_freezer
U239,SO,2015,in_freezer
U238,SO,2015,in_freezer
U222,SO,2015,in_freezer
U219,SO,2015,in_freezer
U221,SO,2015,in_freezer
U242,SO,2015,in_freezer
U487,SO,2015,in_freezer
U488,SO,2015,in_freezer
U489,SO,2015,in_freezer
U498,SO,2015,in_freezer
U499,SO,2015,in_freezer
U490,SO,2015,in_freezer
U500,SO,2015,in_freezer
U501,SO,2015,in_freezer
U502,SO,2015,in_freezer
U511,SO,2015,in_freezer
U512,SO,2015,in_freezer
U1277,SO,2015,in_freezer
U1239,SO,2015,in_freezer
U1240,SO,2015,in_freezer
U1268,SO,2015,in_freezer
U1269,SO,2015,in_freezer
U1278,SO,2015,in_freezer
U1279,SO,2015,in_freezer
U1280,SO,2015,in_freezer
U1287,SO,2015,in_freezer
U1291,SO,2015,in_freezer
U1228,SO,2015,in_freezer
U1229,SO,2015,in_freezer
U1230,SO,2015,in_freezer
U1244,SO,2015,in_freezer
U1245,SO,2015,in_freezer
U1246,SO,2015,in_freezer
U1261,SO,2015,in_freezer
U1256,SO,2015,in_freezer
U1257,SO,2015,in_freezer
U1262,SO,2015,in_freezer
U956,SO,2015,in_freezer
U969,SO,2015,in_freezer
U982,SO,2015,in_freezer
U944,SO,2015,in_freezer
U945,SO,2015,in_freezer
U957,SO,2015,in_freezer
U970,SO,2015,in_freezer
U983,SO,2015,in_freezer
U984,SO,2015,in_freezer
U991,SO,2015,in_freezer
U854,SO,2015,in_freezer
U855,SO,2015,in_freezer
U878,SO,2015,in_freezer
U879,SO,2015,in_freezer
U916,SO,2015,in_freezer
U917,SO,2015,in_freezer
U931,SO,2015,in_freezer
U932,SO,2015,in_freezer
U933,SO,2015,in_freezer
U934,SO,2015,in_freezer
U935,SO,2015,in_freezer
U1289,SO,2015,in_freezer
U1290,SO,2015,in_freezer
U1293,SO,2015,in_freezer
U1304,SO,2015,in_freezer
U1305,SO,2015,in_freezer
U1306,SO,2015,in_freezer
U1314,SO,2015,in_freezer
U1321,SO,2015,in_freezer
U1322,SO,2015,in_freezer
U1323,SO,2015,in_freezer
U1018,SO,2015,in_freezer
U1019,SO,2015,in_freezer
U1020,SO,2015,in_freezer
U1023,SO,2015,in_freezer
U1024,SO,2015,in_freezer
U1025,SO,2015,in_freezer
U1026,SO,2015,in_freezer
U1027,SO,2015,in_freezer
U1042,SO,2015,in_freezer
U1043,SO,2015,in_freezer
U1044,SO,2015,in_freezer
U312,SO,2015,in_freezer
U292,SO,2015,in_freezer
U302,SO,2015,in_freezer
U295,SO,2015,in_freezer
U294,SO,2015,in_freezer
U293,SO,2015,in_freezer
U301,SO,2015,in_freezer
U303,SO,2015,in_freezer
U311,SO,2015,in_freezer
U313,SO,2015,in_freezer
U128,SO,2015,in_freezer
U235,SO,2015,in_freezer
U233,SO,2015,in_freezer
