ufn,seine_id.x,lice_id_protocol,cal_cope,lep_cope,chal_a,chal_b,cgf,cal_mot,cpaf,caf,lpam,lpaf,lam,laf,lgf,unid_cope,unid_chal,chal_scar,mot_scar,pred_scar,hemorrhaging,eroded_gill_plate,grazed_gill_plate,mate_guarding,pinched_belly,sealice_field_comments,licer,qc.x.x,species,package_id,seine_id.y,survey_id,date,site,time_out,weight,fork_length,height,time_dewar,field_lice_id_protocol,fish_field_comments,analysis_planned,id_flag,eLab?,qc.y,order,set_number,set_type,set_time,lat,lon,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,total_caught,collection_protocol,seine_comments,qc.x,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,survey_type,ysi_drop,ctd_drop,zoop_drop,survey_comments,qc.y.y
U20211,DE607N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,SF,CU,P1222,DE607N1,DE607,2019-05-21,D09,11:02:00,19,125,25,11:26:00,salmoncoast_motiles,NA,SEMSP,N,yes,SF,11,1,targeted,09:00:00,50.31025,-125.320467,10,0,10,yes,30,1498,0,0,3,18,1,2,0,2,1,3,1523,SEMSP,"4 sockeye in poor condition when released, 1 trainer SO taken",SF,2019-05-21,D09,DI,C,Okisollo Channel,"Sarah Friesen, Julian Gan, Lauren Portner, Emily Haughton",none,75,1,5-10,NW,ebb tide,07:58:00,08:15:00,1,standard,12,3,"5, 6, 7",NA,SF
U20212,DE607N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,SF,CU,P1222,DE607N1,DE607,2019-05-21,D09,11:06:00,16,120,24,11:26:00,salmoncoast_motiles,NA,SEMSP,N,yes,SF,12,1,targeted,09:00:00,50.31025,-125.320467,10,0,10,yes,30,1498,0,0,3,18,1,2,0,2,1,3,1523,SEMSP,"4 sockeye in poor condition when released, 1 trainer SO taken",SF,2019-05-21,D09,DI,C,Okisollo Channel,"Sarah Friesen, Julian Gan, Lauren Portner, Emily Haughton",none,75,1,5-10,NW,ebb tide,07:58:00,08:15:00,1,standard,12,3,"5, 6, 7",NA,SF
U20213,DE607N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,SF,CU,P1222,DE607N1,DE607,2019-05-21,D09,11:07:00,8,95,13,11:26:00,salmoncoast_motiles,NA,SEMSP,N,yes,SF,13,1,targeted,09:00:00,50.31025,-125.320467,10,0,10,yes,30,1498,0,0,3,18,1,2,0,2,1,3,1523,SEMSP,"4 sockeye in poor condition when released, 1 trainer SO taken",SF,2019-05-21,D09,DI,C,Okisollo Channel,"Sarah Friesen, Julian Gan, Lauren Portner, Emily Haughton",none,75,1,5-10,NW,ebb tide,07:58:00,08:15:00,1,standard,12,3,"5, 6, 7",NA,SF
U20261,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JG,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:04:00,4,83,14,09:25:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,36,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20262,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:06:00,3.5,77,14,09:25:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,37,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20263,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:07:00,3.1,75,12,09:25:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,38,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20264,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JG,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:07:00,4.2,83,13,09:25:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,39,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20265,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JG,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:09:00,4,81,13,09:25:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,40,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20266,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:11:00,3.8,80,14,09:31:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,41,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20267,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,LP,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:12:00,3.4,79,13,09:31:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,42,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
