sampleID,barcode,name,description,note,quantity,expiration,created,Storage,storageLayerName,Storage Position,storageLayerID,fullName,clonedFrom,clonedFromSampleID,Sample Status
7166643,S22047RD1,S22047RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,E.2,570644,elab JSP,,,Collected
7166645,S22045RD1,S22045RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,H.2,570644,elab JSP,,,Collected
7166646,S22041RD1,S22041RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,F.2,570644,elab JSP,,,Collected
7166648,S22044RD1,S22044RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,G.2,570644,elab JSP,,,Collected
7166649,S22046RD1,S22046RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,H.5,570644,elab JSP,,,Collected
7166651,S22050RD1,S22050RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,D.2,570644,elab JSP,,,Collected
7166652,S22048RD1,S22048RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,C.2,570644,elab JSP,,,Collected
7166654,S22043RD1,S22043RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,B.2,570644,elab JSP,,,Collected
7166655,S22049RD1,S22049RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,G.5,570644,elab JSP,,,Collected
7166657,S22042RD1,S22042RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,A.2,570644,elab JSP,,,Collected
7166660,S22012RD1,S22012RD1,,,,,2019-06-28 23:07,Marna -80 Freezer - Shelf 2,BRN72M,F.5,570644,elab JSP,,,Collected
7167197,S20581RD1,S20581RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,G.4,570644,elab JSP,,,Collected
7167198,S20582RD1,S20582RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,H.4,570644,elab JSP,,,Being Processed
7167200,S20584RD1,S20584RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,E.4,570644,elab JSP,,,Being Processed
7167201,S20585RD1,S20585RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,D.4,570644,elab JSP,,,Collected
7167203,S20583RD1,S20583RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,F.4,570644,elab JSP,,,Collected
7167206,S20586RD1,S20586RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,C.4,570644,elab JSP,,,Collected
7167207,S20588RD1,S20588RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,A.4,570644,elab JSP,,,Collected
7167209,S20587RD1,S20587RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,B.4,570644,elab JSP,,,Being Processed
7167210,S20589RD1,S20589RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,H.8,570644,elab JSP,,,Collected
7167212,S20590RD1,S20590RD1,,,,,2019-06-29 1:22,Marna -80 Freezer - Shelf 2,BRN72M,G.8,570644,elab JSP,,,Collected
7189070,S21641RD1,S21641RD1,,,,,2019-07-04 1:46,Marna -80 Freezer - Shelf 2,BRN72M,F.8,570644,elab JSP,,,Collected
7189071,S21643RD1,S21643RD1,,,,,2019-07-04 1:46,Marna -80 Freezer - Shelf 2,BRN72M,D.8,570644,elab JSP,,,Collected
7189073,S21642RD1,S21642RD1,,,,,2019-07-04 1:46,Marna -80 Freezer - Shelf 2,BRN72M,E.8,570644,elab JSP,,,Collected
7189074,S21644RD1,S21644RD1,,,,,2019-07-04 1:46,Marna -80 Freezer - Shelf 2,BRN72M,C.8,570644,elab JSP,,,Collected
7189076,S21645RD1,S21645RD1,,,,,2019-07-04 1:46,Marna -80 Freezer - Shelf 2,BRN72M,B.8,570644,elab JSP,,,Collected
