"sampleID"	"barcode"	"name"	"description"	"note"	"quantity"	"expiration"	"created"	"Storage"	"storageLayerName"	"Storage Position"	"storageLayerID"	"fullName"	"clonedFrom"	"clonedFromSampleID"	"Dissection Status"	"Species"	"Column1"
"7030400"	"005000000007030400"	"U20201"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030403"	"005000000007030403"	"U20202"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030406"	"005000000007030406"	"U20203"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030409"	"005000000007030409"	"U20204"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030412"	"005000000007030412"	"U20205"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030415"	"005000000007030415"	"U20206"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030418"	"005000000007030418"	"U20207"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030421"	"005000000007030421"	"U20208"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030424"	"005000000007030424"	"U20209"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030427"	"005000000007030427"	"U20210"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1221"	"0"	"574622"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030430"	"005000000007030430"	"U20211"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA120"	"P1222"	"0"	"574631"	"elab JSP"	""	""	"Dissected"	""	""
"7030433"	"005000000007030433"	"U20212"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA120"	"P1222"	"0"	"574631"	"elab JSP"	""	""	"Dissected"	""	""
"7030436"	"005000000007030436"	"U20213"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA120"	"P1222"	"0"	"574631"	"elab JSP"	""	""	"Dissected"	""	""
"7030439"	"005000000007030439"	"U20221"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030442"	"005000000007030442"	"U20222"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030445"	"005000000007030445"	"U20223"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030448"	"005000000007030448"	"U20224"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030451"	"005000000007030451"	"U20225"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030454"	"005000000007030454"	"U20226"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030457"	"005000000007030457"	"U20227"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030460"	"005000000007030460"	"U20228"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030463"	"005000000007030463"	"U20229"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030466"	"005000000007030466"	"U20230"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1223"	"0"	"574628"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030469"	"005000000007030469"	"U20231"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030472"	"005000000007030472"	"U20232"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030475"	"005000000007030475"	"U20233"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030478"	"005000000007030478"	"U20234"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030481"	"005000000007030481"	"U20235"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030484"	"005000000007030484"	"U20236"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030487"	"005000000007030487"	"U20237"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030490"	"005000000007030490"	"U20238"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030493"	"005000000007030493"	"U20239"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030496"	"005000000007030496"	"U20240"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1224"	"0"	"574625"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7030499"	"005000000007030499"	"U20251"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1226"	"0"	"574637"	"elab JSP"	""	""	"Dissected"	""	""
"7030502"	"005000000007030502"	"U20241"	""	""	""	""	"2019-05-21 23:53"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1225"	"0"	"574634"	"elab JSP"	""	""	"Dissected"	""	""
"7032824"	"U20263"	"U20263"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032825"	"U20261"	"U20261"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032827"	"U20265"	"U20265"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032828"	"U20262"	"U20262"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032831"	"U20264"	"U20264"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032833"	"U20266"	"U20266"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032834"	"U20267"	"U20267"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032836"	"U20268"	"U20268"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032839"	"U20269"	"U20269"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032840"	"U20270"	"U20270"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA121"	"P1227"	"0"	"574868"	"elab JSP"	""	""	"Dissected"	""	""
"7032843"	"U20271"	"U20271"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA120"	"P1228"	"0"	"574865"	"elab JSP"	""	""	"Dissected"	""	""
"7032845"	"U20272"	"U20272"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA120"	"P1228"	"0"	"574865"	"elab JSP"	""	""	"Dissected"	""	""
"7032848"	"U20273"	"U20273"	""	""	""	""	"2019-05-22 19:21"	"Prep -20 Freezer #4 - Shelf 2 - BCA120"	"P1228"	"0"	"574865"	"elab JSP"	""	""	"Dissected"	""	""
"7038899"	"U20282"	"U20282"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038900"	"U20284"	"U20284"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038902"	"U20281"	"U20281"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038903"	"U20285"	"U20285"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038905"	"U20283"	"U20283"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038906"	"U20287"	"U20287"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038908"	"U20286"	"U20286"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038909"	"U20288"	"U20288"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038911"	"U20289"	"U20289"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038912"	"U20290"	"U20290"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA118"	"P1229"	"0"	"575231"	"elab JSP"	""	""	"Dissected"	""	""
"7038915"	"U20291"	"U20291"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1230"	"0"	"575234"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7038917"	"U20292"	"U20292"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1230"	"0"	"575234"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7038920"	"U20293"	"U20293"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1230"	"0"	"575234"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7038921"	"U20294"	"U20294"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1230"	"0"	"575234"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7038923"	"U20295"	"U20295"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1230"	"0"	"575234"	"elab JSP"	""	""	"Dissected"	"SO"	""
"7038924"	"U20297"	"U20297"	""	""	""	""	"2019-05-23 21:47"	"Prep -20 Freezer #4 - Shelf 2 - BCA117"	"P1230"	"0"	"575234"	"elab JSP"	""	""	"Dissected"	"SO"	""
