sampleID,barcode,name,description,note,quantity,expiration,created,Storage,storageLayerName,Storage Position,storageLayerID,fullName,clonedFrom,clonedFromSampleID,Sample Status,Tissue Type
7167216,S20581RG1,S20581RG1,,,,,2019-06-29 1:23,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,G.4,597164,elab JSP,,,Collected,Gill
7167218,S20584RG1,S20584RG1,,,,,2019-06-29 1:23,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.4,597164,elab JSP,,,Collected,Gill
7167219,S20585RG1,S20585RG1,,,,,2019-06-29 1:23,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.4,597164,elab JSP,,,Collected,Gill
7167221,S20586RG1,S20586RG1,,,,,2019-06-29 1:23,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.4,597164,elab JSP,,,Collected,Gill
7167224,S20587RG1,S20587RG1,,,,,2019-06-29 1:23,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,B.4,597164,elab JSP,,,Collected,Gill
7167225,S20588RG1,S20588RG1,,,,,2019-06-29 1:23,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,A.4,597164,elab JSP,,,Collected,Gill
7167227,S20589RG1,S20589RG1,,,,,2019-06-29 1:23,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,H.8,597164,elab JSP,,,Collected,Gill
7167228,S20590RG1,S20590RG1,,,,,2019-06-29 1:23,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,G.8,597164,elab JSP,,,Collected,Gill
7202021,S22108RG1,S22108RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,B.6,597164,elab JSP,,,Collected,Gill
7202022,S22107RG1,S22107RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.6,597164,elab JSP,,,Collected,Gill
7202024,S22109RG1,S22109RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,A.6,597164,elab JSP,,,Collected,Gill
7202025,S22110RG1,S22110RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,H.11,597164,elab JSP,,,Collected,Gill
7202027,S22101RG1,S22101RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,G.11,597164,elab JSP,,,Collected,Gill
7202030,S22103RG1,S22103RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,F.11,597164,elab JSP,,,Collected,Gill
7202031,S22105RG1,S22105RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.11,597164,elab JSP,,,Collected,Gill
7202034,S22104RG1,S22104RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.11,597164,elab JSP,,,Collected,Gill
7202036,S22106RG1,S22106RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.11,597164,elab JSP,,,Collected,Gill
7202039,S22102RG1,S22102RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,B.11,597164,elab JSP,,,Collected,Gill
7202040,S20597RG1,S20597RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,A.11,597164,elab JSP,,,Collected,Gill
7202043,S20598RG1,S20598RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,G.12,597164,elab JSP,,,Collected,Gill
7202045,S20600RG1,S20600RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.12,597164,elab JSP,,,Collected,Gill
7202046,S20593RG1,S20593RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,F.12,597164,elab JSP,,,Collected,Gill
7202048,S20596RG1,S20596RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.12,597164,elab JSP,,,Collected,Gill
7202049,S20594RG1,S20594RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,B.12,597164,elab JSP,,,Collected,Gill
7202051,S20591RG1,S20591RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,A.12,597164,elab JSP,,,Collected,Gill
7202052,S20599RG1,S20599RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,H.4,599576,elab JSP,,,Collected,Gill
7202054,S20595RG1,S20595RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.12,597164,elab JSP,,,Collected,Gill
7202057,S20592RG1,S20592RG1,,,,,2019-07-10 0:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,G.4,599576,elab JSP,,,Collected,Gill
7202238,S20882RG1,S20882RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,B.7,597164,elab JSP,,,Collected,Gill
7202240,S20883RG1,S20883RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.7,597164,elab JSP,,,Collected,Gill
7202241,S20881RG1,S20881RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,H.7,597164,elab JSP,,,Collected,Gill
7202243,S20885RG1,S20885RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,A.7,597164,elab JSP,,,Collected,Gill
7202246,S20886RG1,S20886RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.7,597164,elab JSP,,,Collected,Gill
7202247,S20890RG1,S20890RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.7,597164,elab JSP,,,Collected,Gill
7202250,S20888RG1,S20888RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,F.7,597164,elab JSP,,,Collected,Gill
7202252,S20884RG1,S20884RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,G.7,597164,elab JSP,,,Collected,Gill
7202253,S20889RG1,S20889RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,A.2,599576,elab JSP,,,Collected,Gill
7202255,S22100RG1,S22100RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,C.2,599576,elab JSP,,,Collected,Gill
