"sampleID"	"barcode"	"name"	"description"	"note"	"quantity"	"expiration"	"created"	"Storage"	"storageLayerName"	"Storage Position"	"storageLayerID"	"fullName"	"clonedFrom"	"clonedFromSampleID"	"Sample Status"	"Column1"
"7166867"	"S22045XM1"	"S22045XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"68"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166868"	"S22041XM1"	"S22041XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"70"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166870"	"S22044XM1"	"S22044XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"69"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166871"	"S22047XM1"	"S22047XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"71"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166873"	"S22050XM1"	"S22050XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"72"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166874"	"S22043XM1"	"S22043XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"74"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166876"	"S22048XM1"	"S22048XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"73"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166877"	"S22042XM1"	"S22042XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"75"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166879"	"S22046XM1"	"S22046XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"76"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166880"	"S22012XM1"	"S22012XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"78"	"570623"	"elab JSP"	""	""	"Collected"	""
"7166882"	"S22049XM1"	"S22049XM1"	""	""	""	""	"2019-06-28 23:19"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BXM39"	"77"	"570623"	"elab JSP"	""	""	"Collected"	""
