date,species,n,org
2015-05-25,CU,23,dfo
2015-05-25,CU,8,dfo
2015-05-26,CU,13,dfo
2015-06-01,CU,58,dfo
2015-06-02,CU,3,dfo
2015-06-08,CU,638,dfo
2015-06-08,CU,2,dfo
2015-06-09,CU,655,dfo
2015-06-15,CU,80,dfo
2015-06-16,CU,10,dfo
2015-06-21,CU,174,dfo
2015-06-22,CU,35,dfo
2015-06-29,CU,512,dfo
2015-06-30,CU,28,dfo
2015-07-06,CU,235,dfo
2015-07-07,CU,112,dfo
2015-07-14,CU,16,dfo
2015-05-12,SO,5,dfo
2015-05-25,SO,293,dfo
2015-05-25,SO,67,dfo
2015-05-26,SO,42,dfo
2015-06-01,SO,188,dfo
2015-06-02,SO,235,dfo
2015-06-08,SO,78,dfo
2015-06-08,SO,1,dfo
2015-06-09,SO,345,dfo
2015-06-15,SO,17,dfo
2015-06-16,SO,1,dfo
2015-06-16,SO,3,dfo
2015-06-21,SO,56,dfo
2015-06-22,SO,65,dfo
2015-06-29,SO,9,dfo
2015-06-30,SO,2,dfo
2015-07-06,SO,4,dfo
2015-07-07,SO,19,dfo
