ufn,species,package_id,seine_id,survey_id,survey_date,site_id
U20228,SO,P1223,DE607N1,DE607,2019-05-21,D09
U20230,SO,P1223,DE607N1,DE607,2019-05-21,D09
U20234,SO,P1224,DE607N1,DE607,2019-05-21,D09
U20236,SO,P1224,DE607N1,DE607,2019-05-21,D09
U20127,SO,P1213,DE614N3,DE614,2019-05-28,D09
U20138,SO,P1214,DE614N3,DE614,2019-05-28,D09
U20719,SO,P1272,DE621N2,DE621,2019-06-02,D09
U20711,SO,P1272,DE621N2,DE621,2019-06-02,D09
U20712,SO,P1272,DE621N2,DE621,2019-06-02,D09
U20749,SO,P1275,DE621N2,DE621,2019-06-02,D09
U20750,SO,P1275,DE621N2,DE621,2019-06-02,D09
U20096,SO,P1210,DE626N1,DE626,2019-06-05,D09
U21604,SO,P1361,DE626N1,DE626,2019-06-05,D09
U21609,SO,P1361,DE626N1,DE626,2019-06-05,D09
U21610,SO,P1361,DE626N1,DE626,2019-06-05,D09
U20582,SO,P1259,DE628N3,DE628,2019-06-10,D09
U20587,SO,P1259,DE628N3,DE628,2019-06-10,D09
U20592,SO,P1260,DE628N3,DE628,2019-06-10,D09
U20595,SO,P1260,DE628N3,DE628,2019-06-10,D09
U20598,SO,P1260,DE628N3,DE628,2019-06-10,D09
U20831,SO,P1284,DE632N2,DE632,2019-06-17,D09
U20833,SO,P1284,DE632N2,DE632,2019-06-17,D09
U21211,SO,P1322,DE642N3,DE642,2019-07-02,D09
U21213,SO,P1322,DE642N3,DE642,2019-07-02,D09
U21214,SO,P1322,DE642N3,DE642,2019-07-02,D09
