ufn,cm_lab,cpaf_lab,caf_lab,cgf_lab,lgf_lab,laf_lab,lpaf_lab,lpam_lab,lam_lab,ucal_lab,ulep_lab,lab_count_no_id,lice_collection_protocol,lice_id_protocol_lab
U479,0,1,0,0,0,0,0,0,0,0,0,13,labcount_2015,lportner
U480,1,0,0,0,0,0,0,0,0,0,0,19,labcount_2015,lportner
U481,0,0,0,0,0,0,0,0,0,0,0,0,labcount_2015,lportner
U482,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U483,0,0,0,0,0,0,0,0,0,0,0,16,labcount_2015,lportner
U485,0,0,0,0,0,0,0,0,0,0,0,0,labcount_2015,lportner
U493,0,0,0,0,0,0,0,0,0,0,0,0,labcount_2015,lportner
U494,1,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U495,0,1,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U496,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U523,0,1,1,1,0,0,0,0,0,0,0,13,labcount_2015,lportner
U524,1,2,1,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U525,0,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U526,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U527,1,0,0,1,0,0,0,0,0,0,0,8,labcount_2015,lportner
U528,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U530,2,0,0,1,0,0,0,0,0,0,0,5,labcount_2015,lportner
U532,0,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U533,0,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U534,0,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U535,1,0,1,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U543,0,0,1,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U544,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U545,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U546,1,1,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U557,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U558,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U559,1,0,0,0,0,0,0,0,0,0,0,19,labcount_2015,lportner
U566,0,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U567,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U568,0,1,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U569,5,0,0,0,0,0,0,0,0,0,0,16,labcount_2015,lportner
U576,0,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U577,0,0,0,0,0,0,0,0,0,0,0,15,labcount_2015,lportner
U578,0,1,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U584,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U585,1,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U586,1,0,0,1,0,0,0,0,0,0,0,12,labcount_2015,lportner
U590,0,0,1,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U591,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U593,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U597,0,1,0,1,0,0,0,0,0,0,0,101,labcount_2015,lportner
U598,1,0,1,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U599,0,0,0,1,0,0,0,0,0,0,0,2,labcount_2015,lportner
U613,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U614,1,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U615,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U617,0,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U618,0,0,0,0,0,0,0,0,0,0,0,17,labcount_2015,lportner
U621,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U624,0,0,0,0,0,0,0,0,0,0,0,0,labcount_2015,lportner
U625,2,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U626,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U629,2,1,0,1,0,0,0,0,0,0,0,18,labcount_2015,lportner
U635,0,0,0,1,0,0,0,0,0,0,0,11,labcount_2015,lportner
U636,0,0,0,0,0,0,0,0,0,0,0,25,labcount_2015,lportner
U637,0,0,0,0,0,0,0,0,0,0,0,18,labcount_2015,lportner
