sample_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
SDN20,Kuzkwa_Cr,3,0.36,Porter_Cr,1,0.34,Weaver,4,0.12,Pinchi_Cr,3,0.1,Stellako,3,0.04
SDN120,Mitchell,3,0.88,Quesnel_Mitche,3,0.05,Quesnel_Horsef,3,0.04,Quesnel_Decept,3,0.02,Blue_Lead_Ck,3,0.01
SDN955,L_Adams,4,0.69,Paula,1,0.08,Pitt,2,0.06,Tachie,3,0.03,Rossette,1,0.03
SDN938,Quesnel_Mitche,3,0.68,Quesnel_Decept,3,0.21,Roaring,3,0.06,Mitchell,3,0.05,NA,NA,NA
SDN939,Scotch,2,0.74,Seymour,2,0.26,L_Adams,4,0,Eagle,2,0,NA,NA,NA
SDN940,Portage_Cr,4,0.43,L_Adams,4,0.42,U_Horsefly,3,0.08,Quesnel_Horsef,3,0.03,McKinley,3,0.01
SDN941,Chilko,3,0.47,Roaring,3,0.3,Quesnel_Decept,3,0.18,Quesnel_Horsef,3,0.04,Mitchell,3,0.01
SDN942,L_Adams,4,0.88,Chilko,3,0.08,Scotch,2,0.02,Portage_Cr,4,0.01,Tachie,3,0.01
SDN943,Mitchell,3,0.96,Quesnel_Mitche,3,0.04,Blue_Lead_Ck,3,0.01,Quesnel_Decept,3,0,Roaring,3,0
SDN956,L_Adams,4,0.98,Chilko,3,0.01,Little,4,0.01,Chilko-North,3,0,NA,NA,NA
SDN957,Chilko,3,0.96,Middle,3,0.02,Kuzkwa_Cr,3,0.01,L_Adams,4,0.01,Chilko_south,2,0.01
SDN958,Mitchell,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN959,Middle,3,0.37,Birkenhead,3,0.3,L_Adams,4,0.15,Scotch,2,0.07,Chilko,3,0.04
SDN944,L_Adams,4,0.49,Chilko,3,0.21,Portage_Cr,4,0.18,Raft,2,0.03,Pinchi_Cr,3,0.02
SDN945,Quesnel_Decept,3,0.4,Quesnel_Horsef,3,0.25,Roaring,3,0.15,U_Horsefly,3,0.1,Wasko_Cr,3,0.03
SDN946,Mitchell,3,0.76,Chilko,3,0.16,L_Adams,4,0.03,Quesnel_Mitche,3,0.02,Blue_Lead_Ck,3,0.01
SDN960,Chilko,3,0.9,Paula,1,0.04,Tachie,3,0.02,Chilko-North,3,0.02,Chilko_south,2,0.01
SDN961,Chilko,3,0.96,Pitt,2,0.02,Chilko_south,2,0.01,Middle,3,0.01,Weaver,4,0
SDN962,Mitchell,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN963,Pitt,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN972,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN973,Pitt,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN974,Middle,3,0.99,Hudson_Bay,1,0,Sandpoint,1,0,Sinta,1,0,Narrows,1,0
SDN964,Scotch,2,1,L_Adams,4,0,Seymour,2,0,NA,NA,NA,NA,NA,NA
SDN965,Chilko,3,1,Chilko_south,2,0,McKinley,3,0,NA,NA,NA,NA,NA,NA
SDN975,L_Adams,4,0.74,Little,4,0.17,Quesnel_Horsef,3,0.08,Horsefly,3,0.01,Seymour,2,0
SDN976,Chilko,3,0.78,L_Adams,4,0.11,Chilko-North,3,0.04,Sandpoint,1,0.01,Horsefly,3,0.01
SDN977,L_Adams,4,0.89,Little,4,0.08,Thompson_N,2,0.02,Chilko_south,2,0,Chilko,3,0
SDN978,Chilko,3,0.81,Chilko-North,3,0.12,L_Adams,4,0.02,Chilko_south,2,0.02,Little,4,0.01
SDN979,Sandpoint,1,0.45,Sinta,1,0.27,Blackwater,1,0.09,Narrows,1,0.07,Hudson_Bay,1,0.04
SDN980,L_Adams,4,0.47,Chilko,3,0.41,Quesnel_Decept,3,0.04,Portage_Cr,4,0.02,McKinley,3,0.01
SDN990,Mitchell,3,0.82,Quesnel_Mitche,3,0.13,Quesnel_Decept,3,0.04,Wasko_Cr,3,0,Blue_Lead_Ck,3,0
SDN1009,Seymour,2,0.56,Little,4,0.19,L_Adams,4,0.15,Scotch,2,0.06,MiddleShuswap,4,0.03
SDN966,Chilko,3,0.53,U_Horsefly,3,0.17,Middle,3,0.12,Chilko_south,2,0.05,L_Adams,4,0.05
SDN967,Chilko,3,0.8,L_Adams,4,0.14,Middle,3,0.02,Thoms_Lake,20,0.01,Scotch,2,0.01
SDN981,Kuzkwa_Cr,3,0.46,Tachie,3,0.27,Pinchi_Cr,3,0.14,Chilko,3,0.03,Quesnel_Decept,3,0.02
SDN982,Pitt,2,1,Birkenhead,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN991,Kuzkwa_Cr,3,0.48,Tachie,3,0.32,Pinchi_Cr,3,0.2,Stellako,3,0,Chilko,3,0
SDN992,L_Adams,4,0.59,Portage_Cr,4,0.4,Eagle_L,4,0,Seymour,2,0,L_Shuswap,4,0
SDN993,Chilko,3,0.89,Tachie,3,0.05,Chilko-North,3,0.03,Pinchi_Cr,3,0.02,Chilko_south,2,0
SDN994,Pitt,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
