seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,seine_comments
DN342,DE242,NA,NA,25,07:20:00,50.224243,-125.395419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN343,DE243,NA,NA,30,10:53:00,50.207638,-125.356127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN344,DE244,NA,NA,27,13:04:00,50.309111,-125.323871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN345,DE245,1,targeted,92,07:25:00,50.318037,-125.049415,0,0,0,0,0,0,0,0,0,0,NA,NA,1,"No fish caught in either set. Fish surface activity: rapid splashing as of many fish. Visual on several: small <7cm, some distinct popping also. No specific set activity recorded for second set."
DN346,DE245,2,targeted,92,07:40:00,50.318037,-125.049415,0,0,0,0,0,0,0,0,0,0,NA,NA,1,"No fish caught in either set. Fish surface activity: rapid splashing as of many fish. Visual on several: small <7cm, some distinct popping also."
DN347,DE247,NA,NA,20,09:45:00,50.233615,-125.114968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN348,DE248,NA,NA,21,10:47:00,50.17794,-125.124437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN349,DE249,NA,NA,20,06:24:00,49.995144,-125.150126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN350,DE250,NA,NA,30,07:44:00,49.89932,-125.144043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN351,DE251,NA,NA,20,09:27:00,50.022435,-124.916494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN352,DE252,NA,NA,36,07:40:00,50.448888,-125.400196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN353,DE253,NA,NA,33,09:29:00,50.385637,-125.374951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN354,DE254,NA,NA,26,11:14:00,50.329665,-125.459697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN355,DE255,1,targeted,15,07:28:00,50.023957,-124.914675,0,0,0,0,0,0,0,0,0,0,NA,NA,1,Saw fish immediately upon site arrival
DN356,DE255,2,targeted,10,08:03:00,50.023957,-124.914675,31,400,10,20,10,20,0,0,9,9,NA,NA,1,Saw fish immediately upon site arrival
DN357,DE257,NA,NA,20,13:10:00,49.90799,-125.162322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN358,DE258,NA,targeted,12,14:00:00,49.9865,-125.162953,30,60,3,3,1,1,2,2,0,0,NA,NA,1,mortality: 1 unidentified juvenile salmon
DN359,DE259,NA,targeted,10,06:25:00,50.237386,-125.12002,30,200,1,1,1,1,0,0,10,11,NA,NA,1,NA
DN360,DE260,NA,targeted,35,10:35:00,50.32113,-125.040588,2,2,3,3,0,0,1,1,9,9,NA,NA,1,NA
DN361,DE261,NA,targeted,4,13:01:00,50.19304,-125.136573,30,100,2,2,3,3,1,1,10,16,NA,NA,1,NA
DN362,DE262,NA,targeted,71,07:40:00,50.287179,-125.33416,0,0,0,0,0,1,0,2,0,0,NA,NA,1,NA
DN363,DE263,NA,targeted,16,09:50:00,50.243454,-125.398108,30,700,10,20,10,30,2,2,10,30,NA,NA,1,NA
DN364,DE264,1,targeted,20,13:40:00,50.208559,-125.355064,0,1000,0,0,0,0,0,0,0,0,NA,NA,1,Released fish due to abrasion on net.
