container_id,container_type,current_location,storage_unit,group_box,storage_shelf,storage_tray,date_shipped,shipped_to,date_received,expecting_return?,date_returned,comments
BCA1,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA2,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA3,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA4,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA5,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA6,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA7,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA8,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA9,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA10,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA11,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA12,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA13,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA14,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA15,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA16,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA17,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA18,carcass,UBC,Chest Freezer 1,NA,NA,NA,2016/10/28,UBC,2016/10/28,NA,NA,NA
BCA19,carcass,UBC,Chest Freezer 1,GBCAR1,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA20,carcass,UBC,Chest Freezer 1,GBCAR1,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA21,carcass,UBC,Chest Freezer 1,GBCAR1,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA22,carcass,UBC,Chest Freezer 1,GBCAR1,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA23,carcass,UBC,Chest Freezer 1,GBCAR1,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA24,carcass,UBC,Chest Freezer 1,GBCAR1,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA25,carcass,UBC,Chest Freezer 1,GBCAR2,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA26,carcass,UBC,Chest Freezer 1,GBCAR2,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA27,carcass,UBC,Chest Freezer 1,GBCAR2,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
