ufn,semsp_id,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field
U1,2015-05-20-J05-CU-6,JN201,CU,NA,NA,NA,NA,NA,NA
U2,2015-05-20-J05-CU-1,JN201,CU,NA,NA,NA,NA,NA,NA
U11,2015-05-20-J05-CU-10,JN201,CU,NA,NA,NA,NA,NA,NA
U12,2015-05-20-J05-CU-4,JN201,CU,NA,NA,NA,NA,NA,NA
U3,2015-05-20-J05-CU-2,JN201,CU,NA,NA,NA,NA,NA,NA
U13,2015-05-20-J05-CU-7,JN201,CU,NA,NA,NA,NA,NA,NA
U4,2015-05-20-J05-CU-9,JN201,CU,NA,NA,NA,NA,NA,NA
U5,2015-05-20-J05-CU-3,JN201,CU,NA,NA,NA,NA,NA,NA
U14,2015-05-20-J05-CU-8,JN201,CU,NA,NA,NA,NA,NA,NA
U15,2015-05-20-J05-CU-5,JN201,CU,NA,NA,NA,NA,NA,NA
U7,2015-05-21-J06-SO-5,JN202,SO,NA,NA,NA,NA,NA,NA
U8,2015-05-21-J06-CU-8,JN202,CU,NA,NA,NA,NA,NA,NA
U9,2015-05-21-J06-CU-7,JN202,CU,NA,NA,NA,NA,NA,NA
U16,2015-05-21-J06-SO-9,JN202,SO,NA,NA,NA,NA,NA,NA
U21,2015-05-21-J06-SO-8,JN202,SO,NA,NA,NA,NA,NA,NA
U22,2015-05-21-J06-CU-3,JN202,CU,NA,NA,NA,NA,NA,NA
U31,2015-05-21-J06-SO-10,JN202,SO,NA,NA,NA,NA,NA,NA
U32,2015-05-21-J06-CO-3,JN202,CO,NA,NA,NA,NA,NA,NA
U10,2015-05-21-J06-SO-6,JN202,SO,NA,NA,NA,NA,NA,NA
U17,2015-05-21-J06-SO-3,JN202,SO,NA,NA,NA,NA,NA,NA
U23,2015-05-21-J06-CU-9,JN202,CU,NA,NA,NA,NA,NA,NA
U24,2015-05-21-J06-CU-2,JN202,CU,NA,NA,NA,NA,NA,NA
U25,2015-05-21-J06-SO-7,JN202,SO,NA,NA,NA,NA,NA,NA
U33,2015-05-21-J06-CO-1,JN202,CO,NA,NA,NA,NA,NA,NA
U34,2015-05-21-J06-CO-2,JN202,CO,NA,NA,NA,NA,NA,NA
U35,2015-05-21-J06-SO-4,JN202,SO,NA,NA,NA,NA,NA,NA
U36,2015-05-21-J06-CU-4,JN202,CU,NA,NA,NA,NA,NA,NA
U41,2015-05-21-J06-CU-1,JN202,CU,NA,NA,NA,NA,NA,NA
U42,2015-05-21-J06-SO-1,JN202,SO,NA,NA,NA,NA,NA,NA
U43,2015-05-21-J06-SO-2,JN202,SO,NA,NA,NA,NA,NA,NA
U18,2015-05-21-J06-CU-10,JN202,CU,NA,NA,NA,NA,NA,NA
U26,2015-05-23-J10-SO-27,JN209,SO,NA,NA,NA,NA,NA,NA
U27,2015-05-23-J10-SO-24,JN209,SO,NA,NA,NA,NA,NA,NA
U37,2015-05-23-J10-SO-18,JN209,SO,NA,NA,NA,NA,NA,NA
U38,2015-05-23-J10-SO-30,JN209,SO,NA,NA,NA,NA,NA,NA
U45,2015-05-23-J10-SO-20,JN209,SO,NA,NA,NA,NA,NA,NA
U46,2015-05-23-J10-SO-29,JN209,SO,NA,NA,NA,NA,NA,NA
U19,2015-05-23-J10-SO-17,JN209,SO,NA,NA,NA,NA,NA,NA
U28,2015-05-23-J10-SO-19,JN209,SO,NA,NA,NA,NA,NA,NA
U29,2015-05-23-J10-SO-28,JN209,SO,NA,NA,NA,NA,NA,NA
U30,2015-05-23-J10-SO-23,JN209,SO,NA,NA,NA,NA,NA,NA
U40,2015-05-23-J10-SO-25,JN209,SO,NA,NA,NA,NA,NA,NA
U47,2015-05-23-J10-SO-26,JN209,SO,NA,NA,NA,NA,NA,NA
U48,2015-05-23-J10-SO-22,JN209,SO,NA,NA,NA,NA,NA,NA
U49,2015-05-23-J09-SO-22,JN208,SO,NA,NA,NA,NA,NA,NA
U50,2015-05-23-J09-SO-26,JN208,SO,NA,NA,NA,NA,NA,NA
U51,2015-05-23-J10-SO-21,JN209,SO,NA,NA,NA,NA,NA,NA
U52,2015-05-23-J09-SO-18,JN208,SO,NA,NA,NA,NA,NA,NA
U61,2015-05-23-J09-SO-17,JN208,SO,NA,NA,NA,NA,NA,NA
U62,2015-05-23-J09-SO-23,JN208,SO,NA,NA,NA,NA,NA,NA
U53,2015-05-23-J09-SO-19,JN208,SO,NA,NA,NA,NA,NA,NA
U54,2015-05-23-J09-SO-28,JN208,SO,NA,NA,NA,NA,NA,NA
U63,2015-05-23-J09-SO-29,JN208,SO,NA,NA,NA,NA,NA,NA
U71,2015-05-23-J09-SO-24,JN208,SO,NA,NA,NA,NA,NA,NA
U72,2015-05-23-J09-SO-20,JN208,SO,NA,NA,NA,NA,NA,NA
U73,2015-05-23-J09-SO-27,JN208,SO,NA,NA,NA,NA,NA,NA
U20,2015-05-23-J03-SO-27,JN207,SO,NA,NA,NA,NA,NA,NA
U55,2015-05-22-J08-SO-7,JN205,SO,NA,NA,NA,NA,NA,NA
U56,2015-05-22-J08-SO-8,JN205,SO,NA,NA,NA,NA,NA,NA
U57,2015-05-23-J03-SO-20,JN207,SO,NA,NA,NA,NA,NA,NA
U58,2015-05-22-J08-SO-26,JN205,SO,NA,NA,NA,NA,NA,NA
U60,2015-05-23-J03-SO-25,JN207,SO,NA,NA,NA,NA,NA,NA
U64,2015-05-22-J08-SO-3,JN205,SO,NA,NA,NA,NA,NA,NA
U65,2015-05-22-J08-SO-4,JN205,SO,NA,NA,NA,NA,NA,NA
U66,2015-05-22-J08-SO-2,JN205,SO,NA,NA,NA,NA,NA,NA
U74,2015-05-22-J08-SO-6,JN205,SO,NA,NA,NA,NA,NA,NA
U75,2015-05-22-J08-SO-1,JN205,SO,NA,NA,NA,NA,NA,NA
U101,2015-05-23-J03-SO-23,JN207,SO,NA,NA,NA,NA,NA,NA
U102,2015-05-23-J03-SO-21,JN207,SO,NA,NA,NA,NA,NA,NA
U103,2015-05-22-J08-SO-13,JN205,SO,NA,NA,NA,NA,NA,NA
U59,2015-05-22-J08-SO-9,JN205,SO,NA,NA,NA,NA,NA,NA
U68,2015-05-22-J08-SO-5,JN205,SO,NA,NA,NA,NA,NA,NA
U69,2015-05-23-J03-SO-19,JN207,SO,NA,NA,NA,NA,NA,NA
U70,2015-05-22-J08-SO-27,JN205,SO,NA,NA,NA,NA,NA,NA
U76,2015-05-23 J03-SO-29,JN207,SO,NA,NA,NA,NA,NA,NA
U77,2015-05-22-J08-SO-10,JN205,SO,NA,NA,NA,NA,NA,NA
U78,2015-05-23-J03-SO-17,JN207,SO,NA,NA,NA,NA,NA,NA
U79,2015-05-22-J08-SO-30,JN205,SO,NA,NA,NA,NA,NA,NA
U80,2015-05-22-J08-SO-11,JN205,SO,NA,NA,NA,NA,NA,NA
U81,2015-05-23-J03-SO-16,JN207,SO,NA,NA,NA,NA,NA,NA
U91,2015-05-22-J08-SO-28,JN205,SO,NA,NA,NA,NA,NA,NA
U92,2015-05-22-J08-SO-29,JN205,SO,NA,NA,NA,NA,NA,NA
U82,2015-05-23-J03-SO-22,JN207,SO,NA,NA,NA,NA,NA,NA
U83,2015-05-22-J08-SO-12,JN205,SO,NA,NA,NA,NA,NA,NA
U84,2015-05-23-J03-SO-24,JN207,SO,NA,NA,NA,NA,NA,NA
U85,2015-05-22-J08-SO-16,JN205,SO,NA,NA,NA,NA,NA,NA
U93,2015-05-22-J08-SO-24,JN205,SO,NA,NA,NA,NA,NA,NA
U94,2015-05-22-J08-SO-21,JN205,SO,NA,NA,NA,NA,NA,NA
U95,2015-05-22-J08-SO-17,JN205,SO,NA,NA,NA,NA,NA,NA
U96,2015-05-22-J08-SO-18,JN205,SO,NA,NA,NA,NA,NA,NA
U97,2015-05-23-J03-SO-30,JN207,SO,NA,NA,NA,NA,NA,NA
U98,2015-05-23-J03-SO-26,JN207,SO,NA,NA,NA,NA,NA,NA
U86,2015-05-23-J03-SO-18,JN207,SO,NA,NA,NA,NA,NA,NA
U87,2015-05-22-J08-SO-25,JN205,SO,NA,NA,NA,NA,NA,NA
U88,2015-05-23-J03-SO-3,JN207,SO,NA,NA,NA,NA,NA,NA
U89,2015-05-22-J08-SO-14,JN205,SO,NA,NA,NA,NA,NA,NA
U90,2015-05-23-J03-SO-4,JN207,SO,NA,NA,NA,NA,NA,NA
U111,2015-05-22-J08-SO-20,JN205,SO,NA,NA,NA,NA,NA,NA
U112,2015-05-23-J03-SO-12,JN207,SO,NA,NA,NA,NA,NA,NA
U104,2015-05-23-J03-SO-10,JN207,SO,NA,NA,NA,NA,NA,NA
U105,2015-05-23-J03-SO-6,JN207,SO,NA,NA,NA,NA,NA,NA
U106,2015-05-22-J08-SO-22,JN205,SO,NA,NA,NA,NA,NA,NA
U107,2015-05-23-J03-SO-11,JN207,SO,NA,NA,NA,NA,NA,NA
U108,2015-05-23-J03-SO-9,JN207,SO,NA,NA,NA,NA,NA,NA
U113,2015-05-23-J03-SO-1,JN207,SO,NA,NA,NA,NA,NA,NA
U114,2015-05-23-J03-SO-2,JN207,SO,NA,NA,NA,NA,NA,NA
U115,2015-05-22-J08-SO-15,JN205,SO,NA,NA,NA,NA,NA,NA
U116,2015-05-23-J03-SO-14,JN207,SO,NA,NA,NA,NA,NA,NA
U121,2015-05-22-J08-SO-23,JN205,SO,NA,NA,NA,NA,NA,NA
U122,2015-05-22-J08-SO-19,JN205,SO,NA,NA,NA,NA,NA,NA
U123,2015-05-23-J03-SO-7,JN207,SO,NA,NA,NA,NA,NA,NA
U109,2015-05-23-J03-SO-15,JN207,SO,NA,NA,NA,NA,NA,NA
U117,2015-05-23-J03-SO-13,JN207,SO,NA,NA,NA,NA,NA,NA
U118,2015-05-23-J03-SO-8,JN207,SO,NA,NA,NA,NA,NA,NA
U124,2015-05-23-J03-SO-5,JN207,SO,NA,NA,NA,NA,NA,NA
U99,2015-05-15-D05-SO-14,DN203,SO,NA,NA,NA,NA,NA,NA
