ufn,sample_type,sample_id,storage_medium,container_id,container_cell,sample_location,qaqc,comments_sample,sample_status,quality_log
U1,isotope,SIS1,Frozen -20,BISCU1,1,BISCU1-1,TRUE,NA,NA,NA
U1,genetic_stock_id,SDN1,95 % Non-Denatured Ethanol,BDNCU1,1,BDNCU1-1,TRUE,NA,NA,NA
U1,stomach,SST1,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
U1,otolith,SOT1,Dry,BOTCU1,A1,BOTCU1-A1,TRUE,1 otolith collected,NA,NA
U1,scale,U1,Dry,BSC1,1,BSC1-1,TRUE,NA,NA,NA
U1,carcass,U1,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U1,sealice,SSL1,Formalin,BSLCU1,1,BSLCU1-1,TRUE,NA,NA,NA
U2,isotope,SIS4,Frozen -20,BISCU1,3,BISCU1-3,TRUE,NA,NA,NA
U2,genetic_stock_id,SDN4,95 % Non-Denatured Ethanol,BDNCU1,2,BDNCU1-2,TRUE,NA,NA,NA
U2,stomach,SST4,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
U2,otolith,SOT4,Dry,BOTCU1,A2,BOTCU1-A2,TRUE,NA,NA,NA
U2,scale,U2,Dry,BSC1,3,BSC1-3,TRUE,NA,NA,NA
U2,carcass,U2,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U2,sealice,SSL4,Formalin,BSLCU1,3,BSLCU1-3,TRUE,NA,NA,NA
U3,isotope,SIS6,Frozen -20,BISCU1,5,BISCU1-5,TRUE,NA,NA,NA
U3,genetic_stock_id,SDN6,95 % Non-Denatured Ethanol,BDNCU1,3,BDNCU1-3,TRUE,NA,NA,NA
U3,stomach,SST6,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
U3,otolith,SOT6,Dry,BOTCU1,A3,BOTCU1-A3,TRUE,NA,NA,NA
U3,scale,U3,Dry,BSC1,6,BSC1-6,TRUE,NA,NA,NA
U3,carcass,U3,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U3,sealice,SSL6,Formalin,BSLCU1,5,BSLCU1-5,TRUE,NA,NA,NA
U4,isotope,SIS9,Frozen -20,BISCU1,7,BISCU1-7,TRUE,NA,NA,NA
U4,genetic_stock_id,SDN9,95 % Non-Denatured Ethanol,BDNCU1,4,BDNCU1-4,TRUE,NA,NA,NA
U4,stomach,SST9,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
