ctd_file_pk,ctd_cast_pk,ctd_data_pk,filename,device_model,device_sn,device_firmware,file_processing_stage,workarea,shutoff,v_main,v_lith,i_pump,i_ext01,i_ext2345,cast_processing_stage,cruise,station,cast_number,status,latitude,longitude,start_dt,bottom_dt,end_dt,duration,start_depth,bottom_depth,target_depth,drop_speed,vessel,operators,cast_comments,pruth_air_pressure_before_cast,min_pressure_before_cast,min_depth_before_cast,min_pressure_after_cast,min_depth_after_cast,estimated_air_pressure,estimated_depth_shift,original_start_dt,original_bottom_dt,original_start_depth,original_bottom_depth,direction_flag,measurement_dt,descent_rate,conductivity,conductivity_flag,temperature,temperature_flag,depth,depth_flag,pressure,pressure_flag,par,par_flag,flc,flc_flag,turbidity,turbidity_flag,ph,ph_flag,salinity,salinity_flag,spec_cond,spec_cond_flag,dissolved_oxygen_ml_l,dissolved_oxygen_ml_l_flag,dissolved_oxygen_percent,dissolved_oxygen_percent_flag,oxygen_voltage,oxygen_voltage_flag,c_star_tr,c_star_tr_flag,sos_un,sos_un_flag,rinko_do_volt,rinko_do_volt_flag,rinko_temp_volt,rinko_temp_volt_flag,backscatter_beta,backscatter_beta_flag,cdom_ppb,cdom_ppb_flag
4862,12042,3048605,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:27Z,1.235,33.42817,NA,8.9435,NA,9.956,NA,10,NA,27.171,NA,1.6722,NA,2.861,NA,NA,NA,31.1743,NA,NA,NA,5.6665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862,12042,3048606,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:28Z,1.317,33.4201,NA,8.9253,NA,10.916,NA,11,NA,22.457,NA,1.5804,NA,2.873,NA,NA,NA,31.1815,NA,NA,NA,5.6606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862,12042,3048607,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:29Z,1.348,33.42501,NA,8.9321,NA,11.963,NA,12,NA,17.733,NA,1.889,NA,2.861,NA,NA,NA,31.1802,NA,NA,NA,5.6538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862,12042,3048608,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:29Z,1.264,33.41543,NA,8.9173,NA,13.127,NA,13,NA,11.323,NA,1.6473,NA,2.973,NA,NA,NA,31.1827,NA,NA,NA,5.6486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862,12042,3048609,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:30Z,1.333,33.41345,NA,8.9117,NA,13.899,NA,14,NA,8.392,NA,1.6505,NA,2.868,NA,NA,NA,31.1852,NA,NA,NA,5.6471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862,12042,3048610,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:31Z,1.352,33.40935,NA,8.9038,NA,14.903,NA,15,NA,5.445,NA,1.6597,NA,2.85,NA,NA,NA,31.1875,NA,NA,NA,5.6448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862,12042,3048611,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:32Z,1.289,33.40765,NA,8.9007,NA,15.902,NA,16,NA,2.637,NA,1.4182,NA,2.887,NA,NA,NA,31.188,NA,NA,NA,5.6426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862,12042,3048612,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:32Z,1.305,33.40707,NA,8.8991,NA,16.857,NA,17,NA,1.024,NA,1.7591,NA,2.87,NA,NA,NA,31.1884,NA,NA,NA,5.6423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862,12042,3048613,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:33Z,1.336,33.40722,NA,8.8981,NA,17.858,NA,18,NA,-0.02,NA,1.5391,NA,2.844,NA,NA,NA,31.189,NA,NA,NA,5.6409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862,12042,3048614,080217_20180516_1025,RBRconcerto,080217,12.04,done,johnstone,NA,NA,NA,NA,NA,NA,done,JSSOCKEYE,J02,1,NA,50.59948969,-126.7026873,2018-05-16T14:48:18Z,2018-05-16T14:48:41Z,2018-05-16T14:49:36Z,24,0.3618043,29.26179431,30,1.236396379,ALTHEA,"dylan.smyth,erin.pippus,julian.gan,mirko.diaz",NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:48:19Z,2018-05-16T14:48:41Z,0.3618043,29.1062452,d,2018-05-16T14:48:34Z,1.341,33.40658,NA,8.8965,NA,18.863,NA,19,NA,-0.925,NA,1.5804,NA,2.852,NA,NA,NA,31.1893,NA,NA,NA,5.6418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
