"Cast PK","Filename","CTD model","CTD serial number","CTD firmware version","Cruise","Station","Drop number","Start time","Bottom time","Drop time (s)","Drop depth (m)","Target depth (m)","Latitude","Longitude","Operators","Comments","Cast Direction","Measurement time","Depth (m)","Depth flag","Drop speed (m/s)","Conductivity (mS/cm)","Conductivity flag","Temperature (deg C)","Temperature flag","Pressure (dbar)","Pressure flag","Uncorrected Pressure (dbar)","PAR","PAR flag","Fluorometry Chlorophyll (ug/L)","Fluorometry Chlorophyll flag","CDOM (ppb)","CDOM flag","Turbidity (FTU)","Turbidity flag","Backscatter (Beta)","Backscatter flag","Dissolved O2 (mL/L)","Dissolved O2 (mL/L) flag","Dissolved O2 (%)","Dissolved O2 (%) flag","Salinity (PSU)","Salinity flag","Specific conductivity","Specific conductivity flag","Speed of sound (m/s)","Speed of sound flag","Tr (volts)","Tr flag","RINKO DO (volts)","RINKO temp (volts)","Backscatter (counts)","Fluorometry Chlorophyll (counts)","CDOM (counts)"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:35.550","1.006","null","0.48","31.12732","null","11.1949","null","1","null","undefined","146.83","null","0.4196","null","null","null","2.392","null","null","null","7.0767","null","undefined","null","27.0754","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:37.083","1.924","null","0.737","31.13139","null","11.1986","null","2","null","undefined","115.496","null","0.4147","null","null","null","2.382","null","null","null","7.074","null","undefined","null","27.0763","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:38.250","2.969","null","1.011","31.13471","null","11.2017","null","3","null","undefined","86.033","null","0.4319","null","null","null","2.428","null","null","null","7.0581","null","undefined","null","27.0768","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:39.367","3.959","null","0.894","31.1357","null","11.2008","null","4","null","undefined","65.807","null","0.4233","null","null","null","2.424","null","null","null","7.0271","null","undefined","null","27.078","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:40.556","5.122","null","1.119","31.13165","null","11.1701","null","5","null","undefined","53.893","null","0.4545","null","null","null","2.401","null","null","null","7.0345","null","undefined","null","27.0963","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:41.250","5.809","null","0.983","31.1018","null","11.041","null","6","null","undefined","49.398","null","0.4412","null","null","null","2.386","null","null","null","7.0516","null","undefined","null","27.1624","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:42.367","6.858","null","0.934","31.0466","null","10.7853","null","7","null","undefined","42.135","null","0.4585","null","null","null","2.35","null","null","null","7.0809","null","undefined","null","27.2981","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:43.500","7.92","null","0.919","31.03046","null","10.6852","null","8","null","undefined","37.581","null","0.5425","null","null","null","2.336","null","null","null","7.0941","null","undefined","null","27.3567","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:44.583","8.9","null","0.916","31.028","null","10.6146","null","9","null","undefined","33.258","null","0.5805","null","null","null","2.326","null","null","null","7.0814","null","undefined","null","27.4068","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
"8905","080217_20170508_1254","RBRconcerto","080217","12.040","DISOCKEYE","QU46","1","2017-05-08 09:36:31.833","2017-05-08 09:37:24.667","53","45.82268515","45","50.09723548","-125.17578078","julian.gan,justin.francis,rachel.walker,rebecca.piercey","1: SEMS CTD tethered 0.5m below2: Tethered by 0.5m to bottom of QOM's RBR_80217","d","2017-05-08 09:36:45.667","9.888","null","0.906","31.02453","null","10.5512","null","10","null","undefined","29.325","null","0.6335","null","null","null","2.331","null","null","null","7.0661","null","undefined","null","27.4506","null","null","null","null","null","null","null","null","null","undefined","undefined","undefined"
